Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,tsunami,mag,Vol,More Info,Deposits,Country,Location Name,latitude,longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,2004,11,2,10,2,12.8,4,1,6.6,,,0,CANADA,VANCOUVER ISLAND,49.277,-128.772,0.06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,11,11,21,26,41.1,4,1,7.5,,,0,INDONESIA,KEPULAUAN ALOR,-8.152,124.868,2.0,3,,,,,,,,,,,1.0,,,1.0,1.0,34.0,1.0,,,400.0,3.0,,3.0,781.0,3.0,16712.0,4.0
,2004,11,21,11,41,7.7,4,1,6.3,,,1,GUADELOUPE (FRENCH TERRITORY),"BASSE-TERRE, LES SAINTES",15.679,-61.706,2.0,9,,,,,,,,,,,,,,,,1.0,1.0,,,12.0,1.0,155.0,4.0,,3.0,,
,2004,11,22,20,26,23.9,4,1,7.1,,,0,NEW ZEALAND,PUYSEGUR TRENCH,-46.676,164.721,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,11,28,18,32,14.1,4,1,7.0,,,0,JAPAN,HOKKAIDO ISLAND,43.006,145.119,0.12,2,,,,,,,,,,,,,,,,,,,,24.0,1.0,,2.0,,,,1.0
,2004,12,23,14,59,4.4,4,1,8.1,,,0,AUSTRALIA,MACQUARIE ISLAND,-49.312,161.345,0.3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,12,26,0,58,53.5,4,1,9.1,,,146,INDONESIA,OFF W. COAST OF SUMATRA,3.295,95.982,50.9,2176,,,,227899.0,4.0,,,,3.0,10000.0,4.0,,4.0,,4.0,227899.0,4.0,,,,3.0,10000.0,4.0,,4.0,,4.0
,2005,1,19,6,11,36.4,4,1,6.6,,,0,JAPAN,E. HONSHU ISLAND,34.064,141.491,0.39,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2,14,18,5,59.3,3,1,5.8,,,0,GUADELOUPE (FRENCH TERRITORY),DOMINICA PASSAGE,15.775,-61.744,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,3,28,16,9,36.5,4,1,8.6,,,1,INDONESIA,INDONESIA,2.085,97.108,4.2,76,,,,16.0,1.0,,,,,,1.0,,,,,1319.0,4.0,,,340.0,3.0,,4.0,300.0,3.0,,
,2005,4,10,10,29,11.2,4,1,6.7,,,0,INDONESIA,KEPULAUAN MENTAWAI,-1.644,99.607,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,6,15,2,50,53.1,4,1,7.2,,,0,USA,N. CALIFORNIA,41.301,-125.97,0.1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,8,16,2,46,28.4,4,1,7.2,,,0,JAPAN,E. COAST HONSHU ISLAND,38.276,142.039,0.05,1,,,,,,,,,,,,,,,,,,,,56.0,2.0,,1.0,1.0,1.0,,
,2005,11,14,21,38,51.4,4,1,7.0,,,0,JAPAN,E. COAST HONSHU ISLAND,38.107,144.896,0.42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,1,1,7,11,57.0,3,1,5.6,7540.0,,0,JAPAN,S. OF HONSHU ISLAND,31.394,140.131,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,3,14,6,57,33.8,4,1,6.7,,,0,INDONESIA,SERAM ISLAND,-3.595,127.214,3.5,1,,,,4.0,1.0,,,,,,2.0,241.0,3.0,,,4.0,1.0,,,,,1.0,2.0,241.0,3.0,,
,2006,5,3,15,26,40.2,4,1,8.0,,,0,TONGA,TONGA,-20.187,-174.123,0.27,55,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,
,2006,6,5,6,27,7.0,-1,1,6.0,,,0,BRAZIL,ARQUIPELAGO SAO PEDRO E SAO PAULO,1.175,-28.065,,0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
,2006,7,17,8,19,26.0,4,1,7.7,,,4,INDONESIA,SOUTH OF JAVA,-9.284,107.419,20.9,211,8.1,,,802.0,3.0,,,498.0,3.0,55.0,4.0,1623.0,4.0,,,802.0,3.0,,,498.0,3.0,55.0,4.0,1623.0,4.0,,
,2006,9,28,6,22,9.7,4,1,6.9,,,0,SAMOA,SAMOA ISLANDS,-16.592,-172.033,0.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,10,15,17,7,49.2,4,1,6.7,,,0,USA,HAWAII,19.878,-155.935,0.1,1,,,,,,,,,,,,,,,,,,,,,3.0,150.0,4.0,,,,
,2006,10,23,21,17,19.0,4,1,6.4,,,0,JAPAN,"IZU ISLANDS, JAPAN",29.351,140.27,0.16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,11,13,8,2,44.4,4,1,5.2,,,0,TAIWAN,SOUTH CHINA SEA,20.656,119.997,0.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,11,15,11,14,13.5,4,1,8.3,,,3,RUSSIA,S. KURIL ISLANDS,46.592,153.266,21.9,261,,,,,,,,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,,2.0,,,,
,2006,12,26,12,26,21.4,4,1,7.0,,,0,TAIWAN,TAIWAN,21.799,120.547,0.12,7,,,,,,,,,,,,,,,,2.0,1.0,,,40.0,1.0,,1.0,,2.0,,
,2007,1,13,4,23,21.1,4,1,8.1,,,1,RUSSIA,S. KURIL ISLANDS,46.243,154.524,0.4,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,3,25,0,40,1.6,4,1,7.1,,,0,VANUATU,VANUATU ISLANDS,-20.617,169.357,0.08,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
