"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""2001 <= Year >= 2012"",""Cause Code = 1"",""Earthquake Magnitude >= 5.0""]"																																													
	2003	8	4	4	37	20.1	4	1	7.6			0	"ANTARCTICA"	"SCOTIA SEA"	-60.532	-43.411		1																							1				
	2003	8	14	5	14	54.7	3	1	6.3			0	"GREECE"	"IONIAN SEA"	39.16	20.605	0.5	1											1									50	1		2				2
	2003	9	25	19	50	6.3	4	1	8.3			1	"JAPAN"	"HOKKAIDO ISLAND"	41.815	143.91	4.4	268				2	1						1					2	1			849	3	90	4				
	2003	10	31	1	6	28.2	4	1	7			0	"JAPAN"	"E. HONSHU ISLAND"	37.812	142.619	0.32	4																											
	2003	11	17	6	43	6.8	4	1	7.8			0	"USA"	"RAT ISLANDS, ALEUTIAN ISLANDS, AK"	51.146	178.65	0.33	20																							1				
	2003	12	27	16	0	59	4	1	7.3			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-22.015	169.766	0.15	2																											
	2004	1	3	16	23	21	3	1	7.1			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-22.253	169.683	0.07	1																											
	2004	1	28	22	15	30.7	4	1	6.7			0	"INDONESIA"	"SERAM ISLAND"	-3.12	127.4		1																											
	2004	2	11	8	15	3.8	4	1	5.3			1	"JORDAN"	"DEAD SEA"	31.675	35.551	1	1																				4	1		2				2
	2004	9	5	10	7	7.8	4	1	7.2			0	"JAPAN"	"SOUTH COAST HONSHU ISLAND"	33.07	136.618	0.63	12																				4	1		1				
	2004	9	5	14	57	18.6	4	1	7.4			0	"JAPAN"	"SOUTH COAST HONSHU ISLAND"	33.184	137.071	0.93	24																				40	1		1				
	2004	11	2	10	2	12.8	4	1	6.6			0	"CANADA"	"VANCOUVER ISLAND"	49.277	-128.772	0.06	2																											
	2004	11	11	21	26	41.1	4	1	7.5			0	"INDONESIA"	"KEPULAUAN ALOR"	-8.152	124.868	2	3											1			1	1	34	1			400	3		3	781	3	16712	4
	2004	11	21	11	41	7.7	4	1	6.3			1	"GUADELOUPE (FRENCH TERRITORY)"	"BASSE-TERRE, LES SAINTES"	15.679	-61.706	2	9																1	1			12	1	155	4		3		
	2004	11	22	20	26	23.9	4	1	7.1			0	"NEW ZEALAND"	"PUYSEGUR TRENCH"	-46.676	164.721		1																											
	2004	11	28	18	32	14.1	4	1	7			0	"JAPAN"	"HOKKAIDO ISLAND"	43.006	145.119	0.12	2																				24	1		2				1
	2004	12	23	14	59	4.4	4	1	8.1			0	"AUSTRALIA"	"MACQUARIE ISLAND"	-49.312	161.345	0.3	5																											
	2004	12	26	0	58	53.5	4	1	9.1			146	"INDONESIA"	"OFF W. COAST OF SUMATRA"	3.295	95.982	50.9	2176				227899	4				3	10000	4		4		4	227899	4				3	10000	4		4		4
	2005	1	19	6	11	36.4	4	1	6.6			0	"JAPAN"	"E. HONSHU ISLAND"	34.064	141.491	0.39	11																											
	2005	2	14	18	5	59.3	3	1	5.8			0	"GUADELOUPE (FRENCH TERRITORY)"	"DOMINICA PASSAGE"	15.775	-61.744		2																											
	2005	3	28	16	9	36.5	4	1	8.6			1	"INDONESIA"	"INDONESIA"	2.085	97.108	4.2	76				16	1						1					1319	4			340	3		4	300	3		
	2005	4	10	10	29	11.2	4	1	6.7			0	"INDONESIA"	"KEPULAUAN MENTAWAI"	-1.644	99.607	0.4	1																											
	2005	6	15	2	50	53.1	4	1	7.2			0	"USA"	"N. CALIFORNIA"	41.301	-125.97	0.1	5																											
	2005	8	16	2	46	28.4	4	1	7.2			0	"JAPAN"	"E. COAST HONSHU ISLAND"	38.276	142.039	0.05	1																				56	2		1	1	1		
	2005	11	14	21	38	51.4	4	1	7			0	"JAPAN"	"E. COAST HONSHU ISLAND"	38.107	144.896	0.42	1																											
	2006	1	1	7	11	57	3	1	5.6	7540		0	"JAPAN"	"S. OF HONSHU ISLAND"	31.394	140.131		0																											
	2006	3	14	6	57	33.8	4	1	6.7			0	"INDONESIA"	"SERAM ISLAND"	-3.595	127.214	3.5	1				4	1						2	241	3			4	1					1	2	241	3		
	2006	5	3	15	26	40.2	4	1	8			0	"TONGA"	"TONGA"	-20.187	-174.123	0.27	55																				1	1		1				
	2006	6	5	6	27	7	-1	1	6			0	"BRAZIL"	"ARQUIPELAGO SAO PEDRO E SAO PAULO"	1.175	-28.065		0																							1				
