event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz,tsunami_flag_usgs
11891044,2024-09-30 19:25:17.136,-36.4571,-71.7798,4.3,94.267,65851,0
11889798,2024-09-30 17:38:29.391,13.0986,-91.0443,4.6,11.475,33180,0
11889646,2024-09-30 12:21:58.571,53.0601,160.2866,5.9,30.0,42219149,0
11889934,2024-09-30 11:14:21.280,-20.1715,-70.6176,4.2,35.0,2051445,0
11892033,2024-09-30 10:04:46.755,8.5437,126.6047,4.6,86.864,87686,0
11889625,2024-09-30 06:42:22.218,-25.1557,-70.5533,4.2,35.0,53078,0
11889589,2024-09-30 05:59:45.560,17.427,-67.883,3.08,36.63,34902,0
11889923,2024-09-30 02:44:33.489,9.1058,40.0807,4.5,10.0,1430420,0
11889535,2024-09-30 00:48:58.740,18.8215,-66.075,3.14,30.42,51197,0
11889496,2024-09-29 21:29:48.942,58.9719,-154.2401,4.4,110.7,114961,0
11889490,2024-09-29 20:36:45.340,18.020333,-66.757,3.06,15.82,423482,0
11889463,2024-09-29 18:48:13.512,69.1549,-144.4355,3.0,6.9,20433,0
11889452,2024-09-29 17:29:41.790,18.903667,-67.403,3.16,3.81,45125,0
11889375,2024-09-29 09:47:33.220,36.911833,-121.653333,4.15,6.94,18934206,1
11889364,2024-09-29 08:06:40.650,31.921,-116.212,3.08,7.15,51244,0
11889355,2024-09-29 07:20:55.313,59.5331,-154.904,3.1,10.2,33019,0
11889356,2024-09-29 07:05:47.358,6.7214,-73.1171,4.7,157.274,201398,0
11896411,2024-09-29 02:46:52.203,8.1245,126.3208,4.3,99.798,42567,0
11889303,2024-09-29 01:46:35.217,-21.2514,-70.2491,4.5,63.857,3544994,0
11896677,2024-09-29 00:30:47.515,-16.9484,167.6193,4.5,44.36,59374,0
11889266,2024-09-28 21:38:18.290,33.967833,-118.901167,3.08,13.76,32331,0
11889278,2024-09-28 19:56:30.171,38.1101,69.9384,4.5,51.293,32064,0
11889498,2024-09-28 19:41:20.849,51.4829,-177.0405,3.4,10.0,103510,0
11896397,2024-09-28 19:13:34.230,11.7919,-73.4917,4.6,10.0,36985,0
11889337,2024-09-28 18:47:12.670,50.981,-176.2412,3.9,10.0,97432,0
11896930,2024-09-28 17:53:11.656,33.1413,137.1754,4.5,10.0,5817205,0
11889229,2024-09-28 16:52:39.434,-15.7267,-178.6642,5.1,10.0,286540,0
11896666,2024-09-28 16:27:15.537,-39.4453,-72.2865,4.2,82.409,193288,0
11889216,2024-09-28 15:32:04.580,38.5125,-119.536667,3.6,3.6,12273,0
11889196,2024-09-28 13:33:19.836,52.0647,179.4342,4.3,186.162,28453,0
11889185,2024-09-28 12:32:38.564,25.8513,141.7033,5.2,86.547,1628160,0
11896436,2024-09-28 11:17:56.021,10.9288,-62.4931,4.2,127.229,61095,0
11896448,2024-09-28 09:48:55.767,-28.4512,-177.0414,4.2,63.78,92112,0
11889145,2024-09-28 08:09:37.640,18.655667,-66.715167,3.21,68.28,37515,0
11896417,2024-09-28 05:44:21.996,39.2085,71.3715,4.2,10.0,11930,0
11896024,2024-09-28 00:07:46.689,52.5114,172.6318,3.8,10.0,64023,0
11889055,2024-09-27 23:39:25.862,11.0456,-62.6093,4.8,118.671,232958,0
11889026,2024-09-27 22:22:50.828,53.9944,158.7924,4.6,145.775,1343443,0
11896045,2024-09-27 22:09:54.253,24.0793,125.1869,4.3,26.383,46139,0
11896607,2024-09-27 18:49:35.656,-27.3977,-71.9484,4.6,10.0,100594,0
11895650,2024-09-27 15:08:40.721,7.8256,126.4834,4.3,101.27,63765,0
11888862,2024-09-27 09:37:25.922,-13.5682,-171.4086,4.6,10.0,5160185,0
11888822,2024-09-27 06:35:29.531,78.6967,-19.7276,4.4,9.808,17491,0
11888817,2024-09-27 05:56:45.449,-20.801,-67.4429,4.3,180.84,7955968,0
11888828,2024-09-27 05:27:34.450,18.8655,-65.846667,3.32,11.01,33119,0
11896781,2024-09-27 05:10:11.036,14.0691,146.3799,4.2,72.551,20731,0
11888804,2024-09-27 04:36:19.941,8.8728,39.9797,4.9,10.0,3061113,0
11895655,2024-09-27 04:19:41.879,52.737,160.3409,4.2,55.571,466478,0
11888801,2024-09-27 03:39:31.307,11.8508,-87.6571,5.0,43.274,2668846,0
11888794,2024-09-27 02:56:29.833,17.9829,-96.5883,4.2,78.746,66681,0
11888773,2024-09-27 01:14:17.360,19.635,-68.614,4.18,83.0,78225,0
11888702,2024-09-26 20:52:40.828,51.2312,-178.4816,4.0,35.0,200306,0
11888693,2024-09-26 19:03:01.511,18.0901,-100.4782,5.0,64.044,2152888,0
11888669,2024-09-26 18:24:29.350,36.206833,-118.0145,3.7,1.99,110380,0
11896159,2024-09-26 12:05:15.614,-17.3779,-70.8303,4.3,10.0,141687,0
11888557,2024-09-26 11:05:20.170,48.580667,-123.247833,3.9,52.15,24393,0
11888520,2024-09-26 07:56:50.031,31.56,-104.102,3.7,6.7151,81593,0
11888524,2024-09-26 07:54:31.667,12.3575,-88.0397,4.7,54.484,2579674,0
11888513,2024-09-26 07:25:08.788,64.1118,-148.4269,4.0,115.1,1408594,0
11888511,2024-09-26 07:01:09.492,42.8351,145.1334,5.5,50.0,1638814,0
11888481,2024-09-26 03:44:01.530,18.642333,-66.667333,3.08,6.23,79787,0
11888441,2024-09-26 01:40:51.600,27.6432,143.0633,4.8,10.0,274184,0
11888404,2024-09-25 23:08:15.526,32.3082,-103.1746,3.2,5.0,9591,0
11897085,2024-09-25 23:03:22.995,-7.6537,147.1341,4.1,145.132,27018,0
11888401,2024-09-25 23:01:42.010,19.769667,-155.454833,3.19,17.96,1103511,0
11888391,2024-09-25 22:17:11.736,31.622,-103.947,3.2,7.7661,11768,0
11888371,2024-09-25 21:12:29.662,-28.5092,-69.4841,4.4,108.305,1012669,0
11888360,2024-09-25 20:42:17.255,-15.3021,168.0552,4.6,10.0,233233,0
11888282,2024-09-25 13:14:50.403,54.3832,-161.096,3.5,7.586,26917,0
11888228,2024-09-25 12:03:45.895,69.6258,-143.7104,3.0,17.0,37200,0
11888279,2024-09-25 11:44:32.867,51.0043,-173.6568,3.3,10.0,10391,0
11888312,2024-09-25 08:13:57.894,18.8289,-154.1124,3.3,16.344,23130,0
11895758,2024-09-25 03:40:52.534,53.1692,172.8614,3.9,10.0,25701,0
11888135,2024-09-25 01:57:29.446,-21.1876,-70.2973,4.4,75.524,7946646,0
11888068,2024-09-24 22:18:33.024,-37.2391,-74.4386,4.3,10.0,34611,0
11887972,2024-09-24 17:07:41.507,41.5785,143.2834,4.5,48.073,708423,0
11887875,2024-09-24 14:24:26.797,-25.8637,-70.8686,5.2,51.924,4320670,0
11887916,2024-09-24 07:07:07.742,50.5802,178.489,3.6,11.21,12476,0
11895826,2024-09-24 07:06:49.659,37.9089,142.0253,4.4,56.84,15848,0
11887796,2024-09-24 06:00:54.512,31.4478,139.9938,4.7,71.952,25120,0
11887787,2024-09-24 05:06:49.360,18.235667,-66.935,3.17,14.02,25138,0
11895047,2024-09-24 03:24:22.082,16.0216,-98.6578,4.0,10.0,19355,0
11887786,2024-09-24 02:00:28.733,51.1687,178.9214,4.0,23.804,62136,0
11887723,2024-09-24 00:38:04.974,29.6915,130.6911,4.6,37.743,16210,0
11887693,2024-09-23 23:14:20.196,31.5066,140.0417,5.6,19.112,306120,0
11887676,2024-09-23 22:13:45.068,28.866,-98.106,3.2,2.7588,13556,0
11891267,2024-09-23 19:39:07.284,7.9612,127.2578,4.2,10.0,46134,0
11887582,2024-09-23 17:59:13.585,16.3389,-61.9901,4.4,144.312,748032,0
