event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz,tsunami_flag_usgs
11899058,2024-10-31 17:18:47.211,56.9645,-154.7197,3.8,42.0,127896,0
11899054,2024-10-31 17:14:26.290,38.802833,-122.7775,3.08,3.98,18955,0
11899043,2024-10-31 16:18:16.024,23.5328,121.6448,5.2,10.0,5097136,0
11905022,2024-10-31 15:48:09.325,13.6014,145.0987,4.5,127.823,4744373,0
11899045,2024-10-31 15:22:19.075,15.8925,-60.9774,4.3,80.363,844966,0
11899049,2024-10-31 11:59:06.089,51.5824,-175.2349,3.6,36.669,727136,0
11899047,2024-10-31 07:54:08.270,51.3185,179.6078,3.0,65.492,26483,0
11898943,2024-10-31 05:15:53.105,52.2764,159.6143,4.6,53.472,1171395,0
11898934,2024-10-31 04:35:07.479,28.7466,34.4068,4.3,10.0,79018,0
11898929,2024-10-31 04:33:33.972,62.8728,-150.5566,4.1,86.9,83091,0
11904620,2024-10-31 03:32:25.804,-23.5076,-69.3453,4.1,96.848,32255,0
11898912,2024-10-31 02:30:32.852,-23.442,-66.6801,4.2,214.357,2975,0
11898905,2024-10-31 01:32:40.192,29.8874,92.3502,4.3,10.0,2262665,0
11898898,2024-10-31 01:11:38.609,58.0599,-137.4997,3.8,13.4,43143,0
11898870,2024-10-30 22:07:13.579,24.4607,122.7002,4.2,92.242,638104,0
11898860,2024-10-30 20:24:19.980,53.1431,-169.7608,3.8,174.539,14036,0
11898831,2024-10-30 20:15:19.812,43.5881,-127.7057,6.0,10.0,2482317,1
11898793,2024-10-30 13:55:42.715,-0.5112,-79.9131,3.0,10.0,1061181,0
11899259,2024-10-30 13:49:28.495,54.0909,-163.1267,3.9,35.0,61385,0
11898800,2024-10-30 13:03:53.914,6.4558,126.8095,4.6,113.356,181004,0
11898727,2024-10-30 11:43:21.072,-24.179,-66.9698,4.9,182.784,31697,0
11898813,2024-10-30 10:36:28.242,51.4686,-178.1396,3.69,10.0,124178,0
11904119,2024-10-30 10:07:38.746,51.8996,-170.6208,3.0,35.0,12834,0
11906668,2024-10-30 05:45:38.247,-28.6299,-176.8525,4.5,41.194,120151,0
11898649,2024-10-30 05:26:01.340,17.5336,-68.035,4.25,57.0,639619,0
11898626,2024-10-30 04:29:56.739,60.0983,-153.0697,3.0,122.0,17839,0
11898809,2024-10-30 03:00:50.161,52.2729,-172.1856,3.9,17.355,715080,0
11898613,2024-10-30 02:45:13.020,19.0725,-66.3785,3.17,39.86,39907,0
11898591,2024-10-30 01:00:05.880,38.588333,-122.786,3.0,7.28,55044,0
11898562,2024-10-29 21:49:16.678,7.3271,-71.8678,4.7,10.0,256956,0
11903308,2024-10-29 21:15:28.996,51.6448,-170.2612,4.0,33.151,9886,0
11903443,2024-10-29 20:37:07.712,40.1205,142.2621,4.3,60.079,19050,0
11903442,2024-10-29 20:23:09.142,53.1514,159.6904,4.1,66.187,1079036,0
11903440,2024-10-29 19:55:26.851,-10.2022,161.022,4.1,69.154,127761,0
11903438,2024-10-29 18:13:31.284,-14.87,167.1767,4.6,97.173,2224378,0
11903411,2024-10-29 17:20:04.730,-15.1513,-173.2196,4.0,10.0,148738,0
11903407,2024-10-29 17:03:25.742,14.8036,147.2402,4.2,10.0,5099,0
11898462,2024-10-29 16:35:03.481,62.7231,-149.6656,3.2,57.9,31030,0
11898464,2024-10-29 16:00:32.198,-54.7416,159.0059,4.7,17.591,79427,0
11898458,2024-10-29 14:03:49.825,-17.6756,-69.6106,4.2,181.138,59096,0
11898430,2024-10-29 13:26:38.710,18.976,-66.8375,3.0,24.0,146796,0
11898468,2024-10-29 13:01:41.288,-28.619,-176.8638,4.8,35.0,164466,0
11898415,2024-10-29 12:13:58.000,51.8725,157.8398,4.9,86.557,4413317,0
11898379,2024-10-29 08:02:22.970,19.7423,-68.853,3.85,9.0,268596,0
11898369,2024-10-29 07:03:49.980,19.1931,-64.5756,3.61,32.0,44952,0
11898373,2024-10-29 05:35:40.410,-20.6163,-69.2949,4.0,86.517,8067721,0
11905836,2024-10-29 00:46:55.068,52.1682,158.9505,4.1,71.722,454668,0
11898295,2024-10-29 00:37:30.990,17.9991,-66.7378,3.44,14.0,587324,0
11898247,2024-10-28 21:23:40.120,18.010167,-66.736333,3.18,15.63,211189,0
11898233,2024-10-28 20:49:39.629,-14.3151,167.3755,4.5,148.028,571478,0
11898218,2024-10-28 20:03:59.643,55.5166,-155.9639,3.9,28.4,28536,0
11898214,2024-10-28 18:07:36.525,-3.0035,147.4318,4.4,10.0,15875,0
11898092,2024-10-28 10:24:25.080,55.037,-160.6525,3.7,7.94,63131,0
11898057,2024-10-28 09:27:34.580,18.187,-67.9743,3.91,108.0,99745,0
11905492,2024-10-28 09:25:50.967,29.9815,130.3045,4.5,55.611,34438,0
11898381,2024-10-28 08:33:44.129,-3.4711,151.2112,4.7,10.0,23107,0
11898034,2024-10-28 07:49:24.330,34.5815,-120.519,3.4,-0.08,40109,0
11898371,2024-10-28 07:45:49.817,-21.594,-68.4741,4.0,149.793,14022,0
11905920,2024-10-28 07:45:11.790,8.2334,-75.2195,4.4,59.292,57888,0
11898363,2024-10-28 07:08:37.689,7.0174,-76.8664,4.6,10.0,81864,0
11903769,2024-10-28 04:28:58.607,39.9986,143.3426,4.5,35.0,4775,0
11898008,2024-10-28 04:03:01.124,6.7988,-72.9723,4.3,153.555,143551,0
11897992,2024-10-28 03:01:15.753,10.5698,-86.1233,4.7,38.045,83306,0
11897952,2024-10-28 01:02:55.010,19.2495,-64.4641,3.76,50.0,154564,0
11904327,2024-10-28 00:22:52.425,-2.5425,141.1397,4.4,10.0,25073,0
11897944,2024-10-27 23:21:19.250,19.2105,-64.562,3.39,32.95,29582,0
11904047,2024-10-27 22:27:20.706,-3.0268,147.277,4.5,10.0,4271,0
11897909,2024-10-27 21:16:14.602,-21.9538,-68.5929,4.6,125.382,100996,0
11902983,2024-10-27 18:03:15.070,52.1333,-173.7154,3.7,10.479,741779,0
11897850,2024-10-27 15:56:21.269,5.631,126.6075,4.6,8.066,80504,0
11897843,2024-10-27 14:50:06.510,19.7723,-66.6826,3.64,30.0,47255,0
11897822,2024-10-27 13:48:49.950,36.208833,-118.015833,3.2,0.99,245400,0
11898067,2024-10-27 12:13:36.022,55.0061,-160.6281,3.3,10.0,32565,0
11903318,2024-10-27 10:32:49.025,27.4605,129.7225,4.3,10.0,12669,0
11897798,2024-10-27 10:21:45.190,23.9798,121.6563,5.0,30.631,12724856,0
11897789,2024-10-27 09:50:12.985,-23.472,-67.6575,4.9,145.309,216148,0
11897768,2024-10-27 07:45:24.970,17.838,-66.894,3.14,8.33,72167,0
11902909,2024-10-27 07:23:23.716,-31.1063,-177.6169,4.4,10.0,44176,0
11904127,2024-10-27 06:28:47.645,23.4015,120.4923,4.3,10.0,1031053,0
11897749,2024-10-27 06:14:43.068,58.8502,-154.5486,3.5,119.5,114437,0
11902903,2024-10-27 06:09:04.725,-9.3462,159.1377,4.2,11.763,447322,0
11904130,2024-10-27 05:31:57.414,25.3851,142.1146,4.3,21.1,21794,0
11897737,2024-10-27 04:49:49.007,54.6412,160.5356,5.2,90.891,2986654,0
11898545,2024-10-27 03:32:17.911,36.6003,140.4503,4.4,76.762,44230,0
11897707,2024-10-27 01:15:18.770,17.605667,-67.942,3.23,8.73,38262,0
11897675,2024-10-26 22:16:53.576,21.9807,121.333,4.5,10.0,76967,0
11904045,2024-10-26 21:21:58.073,-30.6207,-179.5923,4.3,400.369,63362,0
11897653,2024-10-26 20:10:02.950,18.0475,-68.7608,3.3,85.0,22910,0
11904421,2024-10-26 17:10:14.827,42.5625,145.4838,4.1,36.27,17329,0
11904251,2024-10-26 16:52:14.739,32.3418,138.2972,4.1,312.374,10991,0
11903242,2024-10-26 14:09:25.340,52.0394,-173.6259,3.8,10.0,705594,0
11897846,2024-10-26 12:22:02.706,9.0897,39.9217,4.8,10.0,1673261,0
11897556,2024-10-26 11:48:52.820,19.2028,-64.5935,3.67,22.0,72315,0
11897499,2024-10-26 07:23:56.098,-50.2939,69.4293,5.2,10.0,6440876,0
11897497,2024-10-26 06:54:32.992,13.1232,-89.9522,4.0,46.211,90090,0
11897488,2024-10-26 06:29:15.823,37.3013,-104.5073,3.4,8.826,7750,0
11897490,2024-10-26 06:28:07.350,19.1685,-67.008833,3.43,15.69,30060,0
11904050,2024-10-26 05:45:32.897,-4.4409,153.4885,4.4,10.0,68251,0
11897428,2024-10-26 01:21:57.916,12.6601,-88.114,4.8,60.411,1455971,0
11904021,2024-10-26 00:19:26.112,31.9782,140.628,4.2,51.071,23750,0
11897366,2024-10-25 21:20:23.225,35.7731,139.304,4.3,74.599,5817205,0
11897358,2024-10-25 21:01:34.057,26.8749,140.2951,4.3,431.212,103325,0
11904201,2024-10-25 20:41:58.248,27.6898,129.981,4.0,10.0,4652,0
11897293,2024-10-25 18:10:33.820,60.4351,-150.3781,3.2,38.0,101227,0
11904176,2024-10-25 17:37:24.340,12.1664,-89.0563,4.4,10.0,48959,0
11897257,2024-10-25 14:35:25.250,19.2025,-66.9925,3.71,40.0,136526,0
11903319,2024-10-25 12:22:16.308,42.006,142.6222,4.2,66.314,132968,0
11897218,2024-10-25 11:17:49.720,19.1786,-64.6311,3.8,19.0,321627,0
11897222,2024-10-25 11:17:06.791,37.033,142.0607,4.7,35.0,18094,0
11897207,2024-10-25 09:52:34.596,-22.2187,-70.0444,4.2,45.331,5024299,0
11897208,2024-10-25 08:05:31.770,35.372334,-117.395165,4.61,0.78,1144705,0
11897190,2024-10-25 08:05:08.290,36.601667,-117.091167,4.7,3.98,1144705,0
11897164,2024-10-25 05:38:05.010,-21.6881,-68.4286,5.0,118.528,77613,0
11897153,2024-10-25 04:11:03.288,55.5585,-151.9018,3.5,10.0,3936,0
11897132,2024-10-25 02:12:23.882,31.9198,141.6628,4.6,10.0,12964,0
11902520,2024-10-25 00:18:01.385,53.3336,159.674,4.4,58.675,1099408,0
11897092,2024-10-25 00:00:32.139,-5.288,151.701,5.1,61.116,1008021,0
11897057,2024-10-24 21:51:00.140,18.820333,-67.277833,3.11,6.23,37269,0
11897051,2024-10-24 21:20:42.780,19.0958,-64.5135,3.49,61.0,37290,0
11896997,2024-10-24 19:23:15.460,-17.5015,-70.7012,4.9,114.966,538886,0
11896994,2024-10-24 18:52:10.287,-5.0842,152.1733,5.1,62.847,378246,0
11896978,2024-10-24 17:51:27.678,25.4971,142.6492,5.1,10.0,700649,0
