event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz
11798255,2024-01-31T23:43:17.478000,12.6093,-89.2963,4.6,45.259,22045
11798235,2024-01-31T23:07:12.081000,37.3723,136.7898,4.2,8.748,309567
11800955,2024-01-31T21:38:28.230000,-23.0039,-66.4105,4.5,228.041,14259
11798314,2024-01-31T21:37:11.390000,19.391,-155.277333,3.01,1.59,22696
11800960,2024-01-31T21:33:46.532000,19.3829,-155.279,3.2,6.676,50747
11798172,2024-01-31T21:17:44.950000,19.384,-155.28,3.35,1.64,23308
11798176,2024-01-31T21:15:06.030000,19.391333,-155.275,3.4,1.85,69729
11798117,2024-01-31T20:14:37.500000,19.145333,-155.469833,3.0,32.12,26599
11798053,2024-01-31T19:51:32.620000,19.392,-155.276167,3.02,1.85,25866
11798003,2024-01-31T19:21:27.249000,41.3442,78.7416,4.1,10.0,774822
11797901,2024-01-31T17:58:47.610000,19.391667,-155.276,3.08,1.77,40997
11797893,2024-01-31T17:43:11.080000,19.385833,-155.277167,3.17,1.4,58258
11798122,2024-01-31T17:19:26.820000,19.363833,-155.033833,3.15,8.65,23490
11800763,2024-01-31T17:05:57.676000,14.0821,145.7731,4.2,91.253,2323276
11797817,2024-01-31T16:09:23.190000,19.370667,-155.292833,3.4,2.6,80916
11797815,2024-01-31T16:07:06.110000,19.391667,-155.275,3.15,1.55,80916
11797930,2024-01-31T16:02:42.280000,19.371167,-155.2915,3.22,2.47,54244
11807967,2024-01-31T15:43:40.280000,51.7706,-175.9004,3.0,74.112,125049
11798190,2024-01-31T14:32:43.664000,51.1663,-178.9465,3.7,35.0,136378
11797804,2024-01-31T14:23:20.120000,19.385167,-155.275833,3.5,0.95,92667
11797830,2024-01-31T13:45:13.970000,19.211833,-155.479333,3.09,34.99,17375
11797718,2024-01-31T11:57:27.200000,18.175,-68.1966,3.64,77.0,53181
11797677,2024-01-31T10:05:04.404000,12.2378,143.5884,4.8,34.731,1396627
11798187,2024-01-31T09:25:27.958000,51.4363,179.253,4.0,30.003,139769
11797653,2024-01-31T08:22:44.500000,19.0866,-65.0063,3.81,4.0,84709
11801399,2024-01-31T07:24:33.428000,35.3892,141.7498,4.5,22.749,26
11797603,2024-01-31T04:25:26.609000,-20.9376,-70.4645,4.6,61.666,8453578
11799185,2024-01-31T04:25:00.973000,-21.2467,-67.658,4.1,227.965,14155
11797609,2024-01-31T03:47:37.620000,19.1943,-64.941,3.67,8.0,32524
11797593,2024-01-31T03:35:30.640000,19.2181,-64.9351,3.7,27.0,33731
11810284,2024-01-31T03:29:33.255000,-8.7093,159.2878,4.1,112.382,78775
11797584,2024-01-31T02:46:05.530000,19.0336,-65.1038,3.71,49.0,31244
11797575,2024-01-31T02:41:27.780000,18.9556,-65.1485,3.73,11.0,117441
11797540,2024-01-31T00:36:44.230000,19.2385,-64.948333,3.33,26.64,32069
11799664,2024-01-30T23:41:40.229000,12.6353,-89.2879,4.2,35.0,14437
11797399,2024-01-30T21:00:31.740000,19.302333,-64.865167,3.0,16.72,87406
11797371,2024-01-30T19:55:01.510000,19.1501,-64.7445,3.6,75.0,223969
11797355,2024-01-30T18:35:54.930000,19.259667,-64.884667,3.0,24.36,69163
11797344,2024-01-30T18:21:16.810000,19.266833,-64.830167,3.11,32.23,50878
11797324,2024-01-30T17:58:05.570000,19.193333,-155.492833,3.28,36.0,65971
11797330,2024-01-30T17:40:02.120000,19.160167,-64.906,3.0,8.15,97382
11797319,2024-01-30T17:24:25.920000,19.2303,-64.8968,3.84,29.0,298428
11797332,2024-01-30T17:18:26.850000,19.3015,-64.927,3.28,34.62,49084
11797314,2024-01-30T17:04:30.900000,19.2658,-64.7096,3.68,33.0,687475
11797316,2024-01-30T17:04:00.149000,19.2323,-64.9992,3.7,35.0,687475
11797308,2024-01-30T16:43:58.630000,19.2686,-64.9481,3.94,35.0,731592
11797349,2024-01-30T16:29:40.530000,19.1258,-64.9806,3.9,35.0,480593
11797298,2024-01-30T16:27:00.010000,19.19,-64.9718,4.6,28.0,940290
11806773,2024-01-30T15:52:25.464000,54.7527,-161.5831,3.0,50.946,47246
11797221,2024-01-30T10:46:37.740000,19.0965,-65.1306,3.48,24.0,52741
11797215,2024-01-30T10:36:39.286000,11.5162,-87.0597,4.7,35.0,3487359
11797192,2024-01-30T08:43:06.770000,19.226,-66.5985,3.31,14.88,47681
11797183,2024-01-30T07:17:43.550000,19.3003,-64.9703,3.94,8.0,104608
11797171,2024-01-30T06:27:35.452000,37.1919,-104.7612,3.0,8.605,3781
11797166,2024-01-30T06:15:18.818000,61.7278,-148.5574,3.9,9.0,7088914
11797165,2024-01-30T05:20:02.450000,19.021667,-64.985167,3.21,23.43,32404
11797172,2024-01-30T04:36:32.410000,19.1705,-64.9898,3.86,42.0,38454
11797135,2024-01-30T03:53:12.580000,19.2508,-64.8218,3.68,51.0,36009
11797129,2024-01-30T03:52:35.733000,41.1642,78.6283,4.2,10.0,211068
11797123,2024-01-30T03:49:58.761000,61.4042,-150.6873,3.5,57.4,86139
11809817,2024-01-30T03:45:08.552000,41.164,78.6356,4.0,10.0,107809
11797085,2024-01-30T02:13:23.718000,57.2247,-156.5604,3.5,4.9,103675
11799032,2024-01-30T01:44:58.323000,41.2507,78.7223,4.3,10.0,631018
11807303,2024-01-30T00:47:04.017000,-14.6332,-172.5177,4.7,10.0,396775
11806449,2024-01-29T23:52:53.721000,52.6501,-168.7572,3.1,35.0,162416
11797036,2024-01-29T23:38:24.590000,19.275,-64.8333,3.89,24.0,139853
11797049,2024-01-29T23:30:55.043000,41.2933,78.5831,4.3,10.0,173592
11797077,2024-01-29T23:17:07.455000,41.2469,78.6747,4.5,6.662,293478
11797021,2024-01-29T23:06:15.100000,19.3705,-64.854,3.3,15.0,150400
11801272,2024-01-29T22:55:26.716000,35.3868,141.403,4.2,13.703,38
11797030,2024-01-29T22:42:33.462000,44.4448,-130.0654,4.0,10.0,55553
11797004,2024-01-29T22:27:41.948000,41.1985,78.6388,5.7,10.0,25023243
11796986,2024-01-29T21:51:43.420000,19.201167,-64.949333,3.1,35.49,138452
11796983,2024-01-29T21:38:33.921000,13.5419,-88.6575,4.5,183.251,45670
11796976,2024-01-29T21:03:23.919000,41.2526,78.6898,4.3,10.0,722114
11796954,2024-01-29T20:37:30.395000,-31.4819,-69.2746,4.3,111.732,116999
11796958,2024-01-29T20:33:12.550000,19.4325,-64.9961,3.4,36.0,149658
11796966,2024-01-29T20:24:23.410000,19.2315,-64.933833,3.25,9.62,66947
11796960,2024-01-29T20:22:07.830000,19.319667,-64.863,3.43,19.7,80176
11796940,2024-01-29T20:11:26.530000,19.279,-64.972,3.7,28.0,326670
11796939,2024-01-29T20:03:05.077000,35.3911,141.2952,4.8,28.066,17
11796925,2024-01-29T20:00:52.820000,19.245,-64.954,4.9,10.0,1441362
11796929,2024-01-29T19:39:40.080000,19.305333,-64.772167,3.17,49.17,55149
11797081,2024-01-29T19:14:45.632000,66.7791,-135.6944,3.8,10.0,14226
11796906,2024-01-29T18:41:31.210000,19.149167,-64.988167,3.3,29.62,152030
11796891,2024-01-29T18:39:29.710000,18.9715,-65.094,3.37,14.5,230602
11796877,2024-01-29T18:24:10.630000,19.209833,-155.395996,3.0,34.52,29199
11796879,2024-01-29T18:22:11.510000,19.3906,-65.0228,3.58,13.0,81875
11796881,2024-01-29T18:12:49.880000,19.235333,-64.893833,3.2,20.16,54206
11796876,2024-01-29T17:47:53.090000,19.400333,-64.9165,3.0,35.52,64860
11796850,2024-01-29T17:18:28.590000,19.289833,-64.920167,3.14,30.51,78680
11796851,2024-01-29T17:02:41.380000,19.3581,-64.8358,3.84,30.0,455486
11796829,2024-01-29T16:57:29.360000,19.1838,-64.9211,4.44,45.0,5524393
11796885,2024-01-29T15:58:25.218000,51.3238,-177.8437,4.0,52.912,295453
11806437,2024-01-29T15:50:01.437000,53.5236,-166.2252,3.0,53.614,156662
11796825,2024-01-29T15:19:18.799000,41.9718,142.3464,4.5,64.566,655953
11806439,2024-01-29T14:29:49.195000,54.5118,-162.4841,3.0,81.342,23378
