event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz,tsunami_flag_usgs
11831898,2024-03-31 23:14:02.716,-10.0093,161.1636,4.2,85.563,45185,0
11823375,2024-03-31 23:12:32.100,33.292667,-116.772333,3.1,13.6,331721,0
11823359,2024-03-31 21:16:43.656,8.3213,126.5608,4.9,51.256,380934,0
11823327,2024-03-31 17:17:52.021,-31.0444,-71.4045,4.5,62.09,448353,0
11832575,2024-03-31 16:41:39.859,53.3407,-161.6393,3.1,35.0,4626,0
11823321,2024-03-31 16:37:02.960,19.5695,-65.6631,3.84,102.0,48493,0
11825977,2024-03-31 15:57:19.323,8.7719,126.2523,4.3,61.716,36882,0
11823304,2024-03-31 15:18:51.760,19.1636,-67.116,3.75,5.0,146369,0
11823237,2024-03-31 10:14:06.363,56.6084,-156.3936,3.8,54.9,3583500,0
11823239,2024-03-31 09:00:51.250,17.976167,-66.848333,3.08,16.21,103740,0
11830742,2024-03-31 07:12:02.107,-30.796,-177.5174,4.1,10.0,36647,0
11823177,2024-03-31 03:46:15.796,10.7654,-86.1732,4.9,47.494,1431897,0
11823173,2024-03-31 03:01:44.594,-19.847,-176.0058,5.5,10.0,61508,0
11832255,2024-03-31 02:45:31.255,52.0698,-173.7844,3.2,104.275,19972,0
11832261,2024-03-31 02:35:25.469,51.6632,178.334,3.0,73.51,4671522,0
11823161,2024-03-31 01:04:50.860,18.084,-68.250333,3.24,48.42,32088,0
11823132,2024-03-31 00:25:15.149,39.0066,70.8647,5.0,10.0,271727,0
11823157,2024-03-30 22:39:37.230,18.800167,-65.354,3.39,6.32,32563,0
11831905,2024-03-30 20:33:45.528,52.7664,-168.6832,3.1,44.0,5045006,0
11828503,2024-03-30 20:04:08.351,-27.8943,-177.8442,4.6,9.606,154803,0
11823038,2024-03-30 19:30:51.880,34.111333,-117.317,3.09,17.0,108510,0
11823014,2024-03-30 16:44:25.049,-19.7708,-176.0022,5.3,10.249,34167,0
11823012,2024-03-30 16:28:57.851,52.0869,178.4271,5.8,114.722,4228943,1
11822995,2024-03-30 14:30:58.425,61.6295,-151.974,3.0,92.8,10825,0
11822983,2024-03-30 13:44:35.626,42.559,43.597,4.7,10.0,130666,0
11822918,2024-03-30 11:03:42.760,18.845,-67.4555,3.23,10.17,50063,0
11831805,2024-03-30 10:53:23.287,52.2801,-170.1073,3.0,35.0,20180,0
11823110,2024-03-30 09:03:18.301,-23.812,-71.1518,4.3,10.0,7370894,0
11830359,2024-03-30 08:51:05.598,-20.9892,-176.2161,4.2,186.192,18081,0
11822883,2024-03-30 08:42:39.982,40.8988,-81.0575,3.0,6.234,6429,0
11822888,2024-03-30 08:35:05.948,-21.0951,-68.9704,4.5,115.921,7782868,0
11822884,2024-03-30 06:56:46.991,-21.5458,-68.5614,4.1,136.487,7813203,0
11830340,2024-03-30 06:49:42.895,53.7181,-164.9467,3.3,54.102,5046905,0
11822826,2024-03-30 04:33:31.450,19.3865,-68.2955,3.5,51.0,298806,0
