magnitude,depth,max_amplitude_bhz,tsunami,is_ocean,is_steep_slope
4.5,77.356,9288971,0.0,0,1
4.6,191.376,51000,0.0,1,1
4.5,11.713,24750,0.0,1,1
3.3,55.9,5607096,0.0,0,0
4.0,10.0,49599,0.0,0,0
5.1,25.397,936512,0.0,0,0
4.0,51.0,286640,0.0,1,1
4.3,264.54,2644,0.0,0,0
4.5,10.234,119174,0.0,1,1
3.2,99.918,21775,0.0,1,0
4.3,205.001,12912,0.0,1,0
4.4,10.0,911960,0.0,1,1
4.7,35.0,23020,0.0,1,0
5.1,10.0,6482001,0.0,1,1
5.2,156.001,227933,0.0,0,1
3.1,16.484,5217,0.0,1,0
3.1,13.9,2209,0.0,0,0
3.1,64.7,5430160,0.0,0,0
3.68,38.0,37595,0.0,1,1
3.7,55.546,42087,0.0,1,0
3.4,8.3,35940,0.0,0,0
4.9,58.186,7208731,0.0,1,1
3.0,97.8,18539,0.0,1,0
4.5,163.795,7054899,0.0,0,0
5.3,202.477,108702,0.0,0,0
4.11,169.0,51801,0.0,1,1
4.5,26.572,36493,0.0,1,0
4.4,81.777,9689,0.0,0,0
3.5,11.0,3903856,0.0,0,1
3.0,8.64,266110,0.0,0,0
3.2,10.0,7285,0.0,1,1
3.1,77.0,56502,0.0,0,0
4.3,67.293,4659,0.0,1,0
4.1,47.467,555714,0.0,0,0
3.2,11.0,4991,0.0,0,0
4.2,110.453,34949,0.0,1,1
4.4,32.912,384421,0.0,1,1
3.0,130.228,7151,0.0,1,0
3.1,35.0,5072772,0.0,1,1
3.2,32.110001,219078,0.0,0,1
3.0,108.7,5146288,0.0,0,0
4.1,16.004,2763423,0.0,1,0
3.13,12.87,64382,0.0,1,1
3.4,6.6457,86943,0.0,0,0
3.84,10.0,37985,0.0,1,1
4.4,214.083,6815,0.0,0,0
4.3,95.513,24901,0.0,1,1
4.4,11.771,96694,0.0,1,0
5.3,10.5,14311838,1.0,0,0
4.1,33.437,175686,0.0,1,0
4.8,16.065,142280,0.0,1,0
4.3,227.643,10922,0.0,1,0
4.5,10.0,2619281,0.0,1,0
4.3,99.27,23733,0.0,0,1
4.2,51.647,52691,0.0,1,0
3.4,20.5,73460,0.0,1,0
3.1,35.0,237832,0.0,0,1
3.1,123.2,25950,0.0,0,0
3.5,31.93,63641,0.0,0,1
5.6,58.817,500314,0.0,0,1
4.5,69.955,7376525,0.0,1,1
5.1,114.76,7464690,0.0,0,0
4.3,9.943,41155,0.0,1,1
3.3,10.0,12359,0.0,0,0
4.3,59.931,34,0.0,0,0
4.5,10.0,2400505,0.0,0,0
5.5,43.425,2313811,0.0,1,1
3.42,8.11,64486,0.0,1,1
4.3,229.34,3165,0.0,0,0
6.4,211.0,7418268,0.0,1,0
3.1,26.0,135303,0.0,1,1
4.4,10.0,173434,0.0,0,0
3.1,68.836,45012,0.0,1,1
5.0,10.0,191212,0.0,1,1
4.1,222.905,9106,0.0,1,0
4.6,74.712,88333,0.0,1,1
4.4,65.334,53112,0.0,1,1
3.5,35.0,36616,0.0,1,1
5.8,155.0,1116876,0.0,1,0
3.2,55.81,5606,0.0,1,0
4.5,146.281,2456029,0.0,1,1
4.4,10.0,83502,0.0,1,0
4.4,115.154,26667,0.0,1,1
3.1,33.28,39763,0.0,0,1
3.9,24.0,348585,0.0,1,1
5.0,10.0,8802,0.0,1,1
4.4,109.343,7800788,0.0,0,0
3.07,10.0,351985,0.0,0,1
4.9,36.171,23402,0.0,0,0
4.4,60.544,5082735,0.0,1,1
4.5,10.0,39647,0.0,0,0
5.0,146.317,19671,0.0,1,0
5.6,40.849,1714951,0.0,1,1
3.2,35.052,35994,0.0,1,0
3.2,7.2627,123212,0.0,0,0
3.6,15.2,172591,0.0,1,0
4.5,10.0,136621,0.0,1,0
4.2,10.0,3092435,0.0,1,1
3.2,11.0,27096,0.0,1,1
3.0,10.99,18997573,0.0,0,0
4.1,70.708,1495254,0.0,0,1
3.1,22.4,4387,0.0,1,0
3.6,47.856,132086,0.0,1,1
4.5,48.878,25824,0.0,1,1
5.0,10.0,490051,0.0,0,0
4.3,10.0,194389,0.0,0,0
3.04,31.12,26413,0.0,0,1
4.8,24.159,59440,0.0,1,1
4.5,10.8,503501,0.0,0,0
4.2,119.164,6477381,0.0,0,0
3.4,91.115,27110,0.0,1,1
4.2,10.0,5817205,0.0,1,0
3.15,7.58,212919,0.0,1,1
3.0,7.3,64173,0.0,0,0
4.2,91.604,7343399,0.0,0,0
3.2,35.0,94822,0.0,1,1
5.2,32.759,1460771,0.0,1,0
4.7,97.204,7376691,0.0,0,0
4.4,111.459,7370705,0.0,0,1
3.76,16.0,77279,0.0,1,1
4.6,11.631,1911077,0.0,1,1
4.5,220.255,14145,0.0,0,0
3.09,11.91,48006,0.0,1,1
4.8,72.852,263387,0.0,0,1
4.3,151.502,13275,0.0,0,1
4.1,5.91,1168297,1.0,1,0
4.6,59.0,233336,0.0,1,0
3.3,43.52,7461,0.0,0,0
5.0,105.785,983196,0.0,0,1
3.5,123.9,4506653,0.0,0,0
3.0,6.1187,33859,0.0,0,0
5.0,10.0,35803,0.0,1,1
3.7,2.6,81370,0.0,0,0
4.2,120.79,5015421,0.0,1,0
4.3,308.719,111729,0.0,1,0
3.31,10.53,259400,0.0,1,1
3.4,107.4,4498600,0.0,0,0
4.3,64.575,19743,0.0,1,1
3.4,16.0,114399,0.0,1,1
4.2,188.449,507481,0.0,1,1
3.0,27.2,28947,0.0,1,1
4.5,10.0,28236,0.0,1,1
3.4,35.0,378075,0.0,1,1
4.2,202.58,3862,0.0,0,0
4.1,369.746,24234,0.0,1,0
4.9,10.0,228480,0.0,0,0
3.7,10.0,27183,0.0,1,1
5.1,122.296,8010192,0.0,0,0
3.5,32.494,162483,0.0,1,1
4.3,51.234,7772398,0.0,1,1
4.3,39.433,7641,0.0,0,0
4.5,10.0,59825,0.0,1,1
4.9,10.0,66964,0.0,1,1
3.22,30.61,111600,0.0,0,1
3.3,6.3,8429,0.0,1,0
4.5,10.0,15811,0.0,1,1
3.86,78.0,40120,0.0,1,1
5.2,49.052,772507,0.0,1,1
4.5,216.351,3866,0.0,0,0
4.5,10.474,66699,0.0,0,0
4.2,62.163,9590,0.0,1,0
4.7,53.308,868377,0.0,1,1
4.3,6.71,42556,0.0,0,0
4.3,10.0,337119,0.0,1,1
4.3,47.236,209343,0.0,1,1
4.3,10.0,58373,0.0,1,0
3.2,35.0,16450,0.0,1,1
3.35,18.06,32310,0.0,1,1
4.4,10.0,35988,0.0,1,1
5.4,10.0,57319,0.0,1,1
4.7,80.959,30462,0.0,1,1
4.4,10.0,53921,0.0,1,0
3.3,12.608,66064,0.0,0,0
4.6,23.974,22399,0.0,1,1
4.7,36.541,106626,0.0,1,1
4.5,9.291,289156,0.0,0,0
5.9,11.1,6408787,1.0,1,0
3.2,29.356,13935,0.0,1,1
3.0,75.388,29450,0.0,1,1
4.3,51.564,74744,0.0,1,0
4.4,10.0,4973930,0.0,1,1
3.0,86.72,31317,0.0,1,1
4.6,112.201,4689376,0.0,0,1
3.1,102.0,191034,0.0,1,1
4.5,10.0,209857,0.0,1,0
4.3,255.354,10851,0.0,0,0
3.7,66.8,78711,1.0,0,0
4.3,52.067,6701047,0.0,0,0
3.87,10.0,14040,0.0,0,0
