event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz,tsunami_flag_usgs
11858105,2024-06-30 23:11:49.721,25.491,141.075,4.6,152.257,442133,0
11858247,2024-06-30 20:52:00.512,-9.5293,107.4152,4.3,10.0,3716,0
11858053,2024-06-30 20:16:26.188,51.4965,175.7219,3.6,10.0,13992,0
11860854,2024-06-30 12:08:43.188,-28.8537,-70.6219,4.6,88.874,2177118,0
11857890,2024-06-30 11:03:32.120,19.384333,-155.2395,3.04,1.84,56342,0
11858182,2024-06-30 10:38:15.490,32.2167,132.1554,4.2,31.78,8922,0
11860157,2024-06-30 09:03:33.213,-19.8066,-175.1104,4.6,13.144,15670,0
11857746,2024-06-30 05:17:44.876,39.3908,-116.7011,3.3,7.5,4667,0
11857731,2024-06-30 04:36:14.556,62.088,-151.4053,3.1,81.9,24526,0
11857723,2024-06-30 03:46:55.021,6.6903,-73.0526,4.8,160.601,93969,0
11859881,2024-06-30 01:37:08.979,30.8464,130.225,4.3,155.06,21973,0
11857702,2024-06-30 01:15:58.140,34.557,140.6557,4.4,43.543,20813,0
11857675,2024-06-30 00:42:12.420,18.1388,-68.4771,3.7,68.0,20419,0
11857641,2024-06-29 23:35:33.664,39.391,-116.684,4.1,7.6,17887,0
11864460,2024-06-29 14:22:00.348,6.7968,127.1617,4.4,62.155,36530,0
11864458,2024-06-29 14:14:27.486,-29.7769,-179.3524,4.1,335.915,60128,0
11857507,2024-06-29 11:10:33.061,52.2713,-175.1692,5.0,101.99,1037953,0
11857480,2024-06-29 09:16:47.923,6.7902,-73.0799,4.3,151.808,28929,0
11857454,2024-06-29 06:39:04.730,25.4046,122.3122,4.8,244.07,2312932,0
11857466,2024-06-29 05:06:42.912,31.4866,-115.6169,3.54,10.0,9362,0
11857422,2024-06-29 04:52:30.224,-15.275,-178.5152,4.5,420.762,16223,0
11857621,2024-06-29 04:45:07.788,-17.4543,-69.7668,4.2,179.163,35828,0
11857414,2024-06-29 04:21:48.772,-23.9957,-70.2297,4.9,46.386,357982,0
11857619,2024-06-29 03:51:49.993,-21.4032,-68.1642,4.4,181.077,7947051,0
11857400,2024-06-29 03:45:24.569,43.7583,-76.3527,3.3,10.0,119102,0
11857385,2024-06-29 02:18:31.345,58.2429,-153.95,3.6,64.9,96250,0
11866152,2024-06-28 19:41:44.605,53.1538,158.6079,4.1,116.259,2019462,0
11866144,2024-06-28 19:20:47.039,52.703,172.1214,4.0,23.004,110847,0
11865800,2024-06-28 18:19:45.342,32.5785,139.3145,4.1,212.608,7496,0
11857159,2024-06-28 13:00:39.570,-20.649,-175.6315,5.7,10.0,547037,0
11857146,2024-06-28 12:17:07.757,64.4939,-146.9954,3.2,10.0,3262256,0
11866138,2024-06-28 10:03:10.713,5.8251,125.2739,4.3,10.0,13235,0
11857107,2024-06-28 08:55:37.912,59.4957,-152.8462,4.2,93.8,152973,1
11857111,2024-06-28 08:42:35.326,23.3935,122.2366,4.8,10.0,663601,0
11862443,2024-06-28 07:49:06.243,52.0313,-170.5157,3.8,42.31,7348,0
11857101,2024-06-28 06:43:59.803,42.0076,142.2368,4.3,57.776,177948,0
11857078,2024-06-28 06:36:07.986,-30.0305,-176.316,5.0,10.0,918718,0
11857054,2024-06-28 03:55:30.851,58.9752,-154.16,3.3,124.3,59579,0
11857038,2024-06-28 02:30:59.760,27.2143,128.8762,4.8,37.61,848221,0
11857027,2024-06-28 01:46:52.548,37.5903,141.94,4.5,41.89,10388,0
11857014,2024-06-28 01:35:27.020,19.386833,-155.240833,3.43,1.65,124904,0
11856877,2024-06-27 19:27:45.635,51.8717,-170.474,4.2,35.961,27089,0
11856873,2024-06-27 19:27:45.621,27.2326,128.9261,4.9,37.258,1478924,0
11856855,2024-06-27 18:25:13.734,52.1732,-178.5799,3.6,158.573,5054622,0
11856824,2024-06-27 16:19:08.767,34.0045,141.5847,4.6,10.0,20193,0
11856789,2024-06-27 13:44:29.275,56.4839,-156.35,3.2,50.9,17290,0
11857139,2024-06-27 12:13:12.486,11.4478,-86.7033,4.4,52.864,176058,0
11856762,2024-06-27 11:42:45.129,-21.4699,-68.6482,4.6,102.162,1436621,0
11856759,2024-06-27 11:37:47.179,60.9509,-139.997,4.1,10.0,1545823,0
11866635,2024-06-27 11:27:29.824,42.0339,142.6142,4.2,64.828,105455,0
11856743,2024-06-27 09:45:11.558,37.5354,141.4361,4.4,47.204,6373,0
11856757,2024-06-27 08:39:41.347,-33.1321,-69.9381,4.5,116.255,7164402,0
11856686,2024-06-27 04:32:04.510,35.915167,-121.292833,3.1,10.17,18947265,0
11856658,2024-06-27 01:23:14.100,19.44,-64.831667,3.39,71.99,29620,0
11856651,2024-06-27 01:06:51.784,47.7111,7.9725,3.5,10.0,499021,0
11859320,2024-06-26 23:41:18.226,4.6423,-72.7331,4.4,10.282,10387,0
11856615,2024-06-26 23:08:56.879,32.141,-101.075,3.3,7.8369,16163,0
11856636,2024-06-26 22:57:55.029,50.6053,-175.1197,3.3,10.0,940225,0
11859327,2024-06-26 21:13:04.857,-29.9655,-177.9307,4.4,59.458,438503,0
11856549,2024-06-26 20:46:11.951,-31.023,-71.6894,4.6,68.734,1269418,0
11856442,2024-06-26 15:48:32.780,19.017667,-155.396667,3.09,37.0,54635,0
11856401,2024-06-26 13:18:04.444,-26.0698,-71.0011,4.9,35.646,6254673,0
11856385,2024-06-26 12:39:30.289,60.5762,-151.4882,3.3,52.4,55276,0
11856361,2024-06-26 08:42:43.290,51.2829,-178.2007,4.7,48.53,5178186,0
11866650,2024-06-26 08:31:48.225,-15.0107,-172.9771,4.5,34.259,134191,0
11866648,2024-06-26 07:36:25.325,-31.036,-177.8097,4.3,55.704,133207,0
11856715,2024-06-26 07:18:07.243,5.6122,125.6477,4.5,201.552,42297,0
11866657,2024-06-26 07:08:39.728,26.4394,142.2827,4.5,31.178,104894,0
11856349,2024-06-26 06:02:00.467,52.2276,-173.7261,3.3,179.612,1204448,0
11856297,2024-06-26 03:20:10.241,51.0899,179.7585,4.5,35.0,5187757,0
11859576,2024-06-26 00:55:09.193,-15.0768,167.409,4.3,149.262,189735,0
11856286,2024-06-25 23:46:36.145,54.6359,-161.4217,3.4,35.0,36521,0
11863942,2024-06-25 22:36:24.832,-31.9645,-71.803,4.6,39.939,7101893,0
11856214,2024-06-25 21:20:11.620,36.075,-120.64,3.1,5.9,18947325,0
11856418,2024-06-25 20:36:03.932,51.2212,179.5635,3.6,32.814,5072720,0
11856179,2024-06-25 19:40:51.110,19.266833,-67.663,3.22,29.04,60013,0
11856176,2024-06-25 19:03:26.123,6.848,-77.0329,4.6,41.197,28806,0
11856100,2024-06-25 16:21:54.010,-22.8716,-68.9083,4.2,95.314,95320,0
11864871,2024-06-25 08:59:23.607,32.1466,137.7749,4.0,378.388,10400,0
11855975,2024-06-25 08:30:59.769,33.4839,141.3336,5.4,34.723,1627923,0
11855956,2024-06-25 06:45:33.554,-20.8993,-173.8161,5.1,10.0,64389,0
11855922,2024-06-25 04:08:20.630,18.5081,-68.797,3.3,126.0,275413,0
11856039,2024-06-25 03:27:18.510,51.9687,-170.487,3.6,35.0,7952,0
11855865,2024-06-25 01:35:00.700,17.635833,-68.079333,3.28,21.05,29206,0
11855841,2024-06-25 01:04:55.870,35.107167,-119.0965,3.44,13.48,172045,0
11859332,2024-06-24 22:35:23.685,8.4658,126.9566,4.2,35.0,23778,0
11855769,2024-06-24 22:30:59.930,35.113167,-119.1115,4.2,12.07,1060421,0
11855722,2024-06-24 20:38:39.216,-23.5129,-66.5634,4.6,219.72,11036,0
11855824,2024-06-24 14:24:18.188,35.8175,139.3163,4.2,63.689,5817205,0
11860625,2024-06-24 13:26:08.938,-14.9815,-173.0894,4.4,10.0,136967,0
11863005,2024-06-24 12:02:10.380,18.884667,-68.341333,3.31,19.07,256252,0
11864895,2024-06-24 10:11:27.655,-29.3649,-179.0601,4.6,328.539,120577,0
11860699,2024-06-24 04:32:26.085,14.2817,-90.5722,4.3,146.047,10795,0
11862865,2024-06-24 00:40:43.643,24.0811,121.7349,4.1,5.181,3073448,0
11859361,2024-06-24 00:01:52.597,16.5175,-99.4744,4.2,21.598,107234,0
11855626,2024-06-23 19:17:01.080,33.255,-116.083833,3.59,10.55,247075,0
11859694,2024-06-23 18:31:26.098,63.1624,-150.8055,3.1,113.4,14557,0
11855847,2024-06-23 17:16:17.185,16.6693,-99.4449,5.3,15.036,1553060,0
11856131,2024-06-23 16:19:20.213,51.9668,-173.6852,3.8,9.111,2215929,0
11855728,2024-06-23 15:57:37.493,62.1566,-150.6977,3.5,11.0,471311,0
11862700,2024-06-23 14:27:09.362,23.7981,121.6812,5.1,22.67,11337527,0
11855987,2024-06-23 13:16:17.259,44.3511,-116.1254,3.12,12.523,10215,0
11855902,2024-06-23 11:38:47.610,39.669167,-123.539,3.2,2.19,13237,0
11858207,2024-06-23 09:55:27.278,52.5949,-170.5537,3.5,9.688,11744,0
11855729,2024-06-23 07:59:21.999,66.6118,-140.974,3.7,8.924,37779,0
11861535,2024-06-23 07:45:39.587,53.5035,158.754,5.2,125.034,11292495,0
11855541,2024-06-23 03:57:58.920,10.6921,-62.6852,6.0,77.0,8912234,0
11863304,2024-06-23 03:12:06.264,37.0639,141.2412,4.7,46.707,7240,0
11856250,2024-06-23 02:32:25.775,-21.1973,-68.591,4.1,129.02,7959387,0
11857378,2024-06-23 01:52:54.473,-19.8737,-176.3632,4.1,245.737,50034,0
11857338,2024-06-22 22:38:11.185,-2.7051,141.2972,4.1,24.602,3618,0
11856605,2024-06-22 22:29:05.083,14.6064,-92.4294,4.1,34.343,32946,0
11857336,2024-06-22 22:11:35.718,6.6853,126.5631,4.6,71.358,54470,0
11856616,2024-06-22 21:41:21.391,62.1498,-147.4038,3.1,31.7,71316,0
11856241,2024-06-22 20:17:04.150,18.0493,-68.4958,3.2,82.0,20402,0
11863817,2024-06-22 16:38:42.589,-21.2885,-67.7601,4.5,166.578,12884,0
11863803,2024-06-22 16:09:23.654,5.1831,125.9944,4.5,10.544,16199,0
11855527,2024-06-22 15:41:11.300,41.599833,-112.403,3.1,6.68,4359,0
11863584,2024-06-22 15:27:23.660,-14.3102,167.2796,4.5,208.604,141562,0
11857640,2024-06-22 14:49:33.538,13.884,144.7649,4.6,144.94,5298394,0
11855534,2024-06-22 14:08:38.033,42.5465,43.6236,4.2,10.0,23558,0
11855503,2024-06-22 13:47:30.048,54.8787,-154.5505,3.3,2.3,5081,0
11855500,2024-06-22 13:39:28.915,63.1313,-150.4241,4.0,107.4,97747,0
11855464,2024-06-22 09:49:36.340,54.4112,-161.7917,3.9,40.457,217842,0
11861558,2024-06-22 09:25:20.872,-30.1335,-177.3123,4.6,10.0,251676,0
11855433,2024-06-22 07:48:27.647,56.6776,-156.2415,3.5,6.9,29722,0
11855439,2024-06-22 07:45:57.549,-6.9973,-13.181,4.9,10.0,117252,0
11855436,2024-06-22 07:42:08.423,18.5092,-69.0912,3.2,110.519,275289,0
11855427,2024-06-22 06:34:37.460,19.166,-67.989,3.49,31.0,285338,0
11855408,2024-06-22 05:44:32.050,17.678167,-67.638,3.31,13.63,33098,0
11855373,2024-06-22 03:46:25.830,39.6675,-123.532833,4.34,3.33,63741,1
11855371,2024-06-22 03:10:02.020,18.195667,-67.312,3.26,118.26,30381,0
11855321,2024-06-22 00:33:34.828,36.2412,141.5692,4.6,28.951,9547,0
11855265,2024-06-21 21:23:53.782,63.084,-150.4325,3.5,111.2,97160,0
11855233,2024-06-21 19:31:35.540,3.4658,99.0241,4.4,189.317,45365,0
11855219,2024-06-21 19:03:07.615,8.4795,126.9757,4.7,46.522,192628,0
11855192,2024-06-21 17:43:14.460,18.268,-67.3118,4.2,88.0,1410545,0
11855141,2024-06-21 14:17:36.594,-15.179,167.372,4.8,133.113,2120044,0
11855172,2024-06-21 14:01:03.338,52.7324,159.1437,4.1,112.505,1141100,0
11855102,2024-06-21 12:12:41.509,51.156,-179.1519,5.0,46.106,5203494,0
11855066,2024-06-21 09:30:01.120,62.3625,-149.1446,3.4,0.0,97661,0
