event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz
11899058,2024-10-31T17:18:47.211000,56.9645,-154.7197,3.8,42.0,127896
11899054,2024-10-31T17:14:26.290000,38.802833,-122.7775,3.08,3.98,18955
11899043,2024-10-31T16:18:16.024000,23.5328,121.6448,5.2,10.0,5097136
11905022,2024-10-31T15:48:09.325000,13.6014,145.0987,4.5,127.823,4744373
11899045,2024-10-31T15:22:19.075000,15.8925,-60.9774,4.3,80.363,844966
11899049,2024-10-31T11:59:06.089000,51.5824,-175.2349,3.6,36.669,727136
11899047,2024-10-31T07:54:08.270000,51.3185,179.6078,3.0,65.492,26483
11898943,2024-10-31T05:15:53.105000,52.2764,159.6143,4.6,53.472,1171395
11898934,2024-10-31T04:35:07.479000,28.7466,34.4068,4.3,10.0,79018
11898929,2024-10-31T04:33:33.972000,62.8728,-150.5566,4.1,86.9,83091
11904620,2024-10-31T03:32:25.804000,-23.5076,-69.3453,4.1,96.848,32255
11898912,2024-10-31T02:30:32.852000,-23.442,-66.6801,4.2,214.357,2975
11904627,2024-10-31T01:45:05.042000,29.8941,92.2654,4.2,10.0,2262806
11898905,2024-10-31T01:32:40.192000,29.8874,92.3502,4.3,10.0,2262665
11898898,2024-10-31T01:11:38.609000,58.0599,-137.4997,3.8,13.4,43143
11898870,2024-10-30T22:07:13.579000,24.4607,122.7002,4.2,92.242,638104
11898860,2024-10-30T20:24:19.980000,53.1431,-169.7608,3.8,174.539,14036
11898831,2024-10-30T20:15:19.812000,43.5881,-127.7057,6.0,10.0,2482317
11898793,2024-10-30T13:55:42.715000,-0.5112,-79.9131,3.0,10.0,1061181
11899259,2024-10-30T13:49:28.495000,54.0909,-163.1267,3.9,35.0,61385
11898800,2024-10-30T13:03:53.914000,6.4558,126.8095,4.6,113.356,181004
11898727,2024-10-30T11:43:21.072000,-24.179,-66.9698,4.9,182.784,31697
11898813,2024-10-30T10:36:28.242000,51.4686,-178.1396,3.69,10.0,124178
11904119,2024-10-30T10:07:38.746000,51.8996,-170.6208,3.0,35.0,12834
11906668,2024-10-30T05:45:38.247000,-28.6299,-176.8525,4.5,41.194,120151
11898649,2024-10-30T05:26:01.340000,17.5336,-68.035,4.25,57.0,639619
11898626,2024-10-30T04:29:56.739000,60.0983,-153.0697,3.0,122.0,17839
11898809,2024-10-30T03:00:50.161000,52.2729,-172.1856,3.9,17.355,715080
11904263,2024-10-30T03:00:48.259000,52.307,-172.1609,3.8,10.0,715080
11898613,2024-10-30T02:45:13.020000,19.0725,-66.3785,3.17,39.86,39907
11898591,2024-10-30T01:00:05.880000,38.588333,-122.786,3.0,7.28,55044
11898562,2024-10-29T21:49:16.678000,7.3271,-71.8678,4.7,10.0,256956
11903308,2024-10-29T21:15:28.996000,51.6448,-170.2612,4.0,33.151,9886
11903443,2024-10-29T20:37:07.712000,40.1205,142.2621,4.3,60.079,19050
11903442,2024-10-29T20:23:09.142000,53.1514,159.6904,4.1,66.187,1079036
11903440,2024-10-29T19:55:26.851000,-10.2022,161.022,4.1,69.154,127761
11898526,2024-10-29T19:36:27.644000,40.355,142.1956,4.3,63.103,23762
11903438,2024-10-29T18:13:31.284000,-14.87,167.1767,4.6,97.173,2224378
11903411,2024-10-29T17:20:04.730000,-15.1513,-173.2196,4.0,10.0,148738
11903407,2024-10-29T17:03:25.742000,14.8036,147.2402,4.2,10.0,5099
11898462,2024-10-29T16:35:03.481000,62.7231,-149.6656,3.2,57.9,31030
11898464,2024-10-29T16:00:32.198000,-54.7416,159.0059,4.7,17.591,79427
11898458,2024-10-29T14:03:49.825000,-17.6756,-69.6106,4.2,181.138,59096
11904780,2024-10-29T13:47:24.964000,-28.4065,-176.8036,4.4,39.351,114661
11898430,2024-10-29T13:26:38.710000,18.976,-66.8375,3.0,24.0,146796
11898468,2024-10-29T13:01:41.288000,-28.619,-176.8638,4.8,35.0,164466
11898415,2024-10-29T12:13:58,51.8725,157.8398,4.9,86.557,4413317
11898379,2024-10-29T08:02:22.970000,19.7423,-68.853,3.85,9.0,268596
11898369,2024-10-29T07:03:49.980000,19.1931,-64.5756,3.61,32.0,44952
11898373,2024-10-29T05:35:40.410000,-20.6163,-69.2949,4.0,86.517,8067721
11905836,2024-10-29T00:46:55.068000,52.1682,158.9505,4.1,71.722,454668
11898295,2024-10-29T00:37:30.990000,17.9991,-66.7378,3.44,14.0,587324
11898247,2024-10-28T21:23:40.120000,18.010167,-66.736333,3.18,15.63,211189
11898233,2024-10-28T20:49:39.629000,-14.3151,167.3755,4.5,148.028,571478
11898218,2024-10-28T20:03:59.643000,55.5166,-155.9639,3.9,28.4,28536
11898220,2024-10-28T19:58:39.940000,19.1273,-64.649,3.74,21.0,100523
11898214,2024-10-28T18:07:36.525000,-3.0035,147.4318,4.4,10.0,15875
11898077,2024-10-28T12:25:02.040000,19.252167,-65.119,3.28,25.26,46196
11898092,2024-10-28T10:24:25.080000,55.037,-160.6525,3.7,7.94,63131
11898057,2024-10-28T09:27:34.580000,18.187,-67.9743,3.91,108.0,99745
11905492,2024-10-28T09:25:50.967000,29.9815,130.3045,4.5,55.611,34438
11898381,2024-10-28T08:33:44.129000,-3.4711,151.2112,4.7,10.0,23107
11898034,2024-10-28T07:49:24.330000,34.5815,-120.519,3.4,-0.08,40109
11898371,2024-10-28T07:45:49.817000,-21.594,-68.4741,4.0,149.793,14022
11905920,2024-10-28T07:45:11.790000,8.2334,-75.2195,4.4,59.292,57888
11898363,2024-10-28T07:08:37.689000,7.0174,-76.8664,4.6,10.0,81864
11903769,2024-10-28T04:28:58.607000,39.9986,143.3426,4.5,35.0,4775
11898008,2024-10-28T04:03:01.124000,6.7988,-72.9723,4.3,153.555,143551
11897990,2024-10-28T03:55:49.610000,34.5735,-120.534,3.19,-0.09,14654
11897992,2024-10-28T03:01:15.753000,10.5698,-86.1233,4.7,38.045,83306
11897978,2024-10-28T02:56:38.930000,19.088667,-64.5665,3.43,54.5,32687
11897960,2024-10-28T01:14:52.610000,19.159167,-64.646333,3.31,27.77,41829
11897952,2024-10-28T01:02:55.010000,19.2495,-64.4641,3.76,50.0,154564
11904327,2024-10-28T00:22:52.425000,-2.5425,141.1397,4.4,10.0,25073
11897944,2024-10-27T23:21:19.250000,19.2105,-64.562,3.39,32.95,29582
11904272,2024-10-27T23:00:13.703000,-3.0234,147.4104,4.3,10.0,10805
11904047,2024-10-27T22:27:20.706000,-3.0268,147.277,4.5,10.0,4271
11897909,2024-10-27T21:16:14.602000,-21.9538,-68.5929,4.6,125.382,100996
11897907,2024-10-27T20:33:46.280000,19.171,-64.5865,3.32,25.36,41845
11902983,2024-10-27T18:03:15.070000,52.1333,-173.7154,3.7,10.479,741779
11897850,2024-10-27T15:56:21.269000,5.631,126.6075,4.6,8.066,80504
11897843,2024-10-27T14:50:06.510000,19.7723,-66.6826,3.64,30.0,47255
11897822,2024-10-27T13:48:49.950000,36.208833,-118.015833,3.2,0.99,245400
11898067,2024-10-27T12:13:36.022000,55.0061,-160.6281,3.3,10.0,32565
11903318,2024-10-27T10:32:49.025000,27.4605,129.7225,4.3,10.0,12669
11897798,2024-10-27T10:21:45.190000,23.9798,121.6563,5.0,30.631,12724856
11897789,2024-10-27T09:50:12.985000,-23.472,-67.6575,4.9,145.309,216148
11897768,2024-10-27T07:45:24.970000,17.838,-66.894,3.14,8.33,72167
11902909,2024-10-27T07:23:23.716000,-31.1063,-177.6169,4.4,10.0,44176
11897755,2024-10-27T06:56:54.954000,23.3906,120.4472,4.2,10.0,1930833
11904127,2024-10-27T06:28:47.645000,23.4015,120.4923,4.3,10.0,1031053
11897754,2024-10-27T06:19:12.922000,23.4173,120.4336,4.3,10.0,2164559
11897749,2024-10-27T06:14:43.068000,58.8502,-154.5486,3.5,119.5,114437
11902903,2024-10-27T06:09:04.725000,-9.3462,159.1377,4.2,11.763,447322
11904130,2024-10-27T05:31:57.414000,25.3851,142.1146,4.3,21.1,21794
11897737,2024-10-27T04:49:49.007000,54.6412,160.5356,5.2,90.891,2986654
11898545,2024-10-27T03:32:17.911000,36.6003,140.4503,4.4,76.762,44230
11897707,2024-10-27T01:15:18.770000,17.605667,-67.942,3.23,8.73,38262
11897675,2024-10-26T22:16:53.576000,21.9807,121.333,4.5,10.0,76967
11904045,2024-10-26T21:21:58.073000,-30.6207,-179.5923,4.3,400.369,63362
11897653,2024-10-26T20:10:02.950000,18.0475,-68.7608,3.3,85.0,22910
11904421,2024-10-26T17:10:14.827000,42.5625,145.4838,4.1,36.27,17329
11904251,2024-10-26T16:52:14.739000,32.3418,138.2972,4.1,312.374,10991
11903242,2024-10-26T14:09:25.340000,52.0394,-173.6259,3.8,10.0,705594
11897846,2024-10-26T12:22:02.706000,9.0897,39.9217,4.8,10.0,1673261
11897844,2024-10-26T12:21:38.972000,9.1078,39.8591,4.7,10.0,1673261
11897556,2024-10-26T11:48:52.820000,19.2028,-64.5935,3.67,22.0,72315
11897499,2024-10-26T07:23:56.098000,-50.2939,69.4293,5.2,10.0,6440876
11897497,2024-10-26T06:54:32.992000,13.1232,-89.9522,4.0,46.211,90090
11897488,2024-10-26T06:29:15.823000,37.3013,-104.5073,3.4,8.826,7750
11897490,2024-10-26T06:28:07.350000,19.1685,-67.008833,3.43,15.69,30060
11904050,2024-10-26T05:45:32.897000,-4.4409,153.4885,4.4,10.0,68251
11897428,2024-10-26T01:21:57.916000,12.6601,-88.114,4.8,60.411,1455971
11904021,2024-10-26T00:19:26.112000,31.9782,140.628,4.2,51.071,23750
11897381,2024-10-25T22:07:01.440000,19.1768,-64.588,3.74,37.0,32225
11897372,2024-10-25T21:45:08.340000,19.184833,-64.636333,3.22,37.11,43777
11897366,2024-10-25T21:20:23.225000,35.7731,139.304,4.3,74.599,5817205
11897358,2024-10-25T21:01:34.057000,26.8749,140.2951,4.3,431.212,103325
11904201,2024-10-25T20:41:58.248000,27.6898,129.981,4.0,10.0,4652
11897293,2024-10-25T18:10:33.820000,60.4351,-150.3781,3.2,38.0,101227
11904176,2024-10-25T17:37:24.340000,12.1664,-89.0563,4.4,10.0,48959
11897254,2024-10-25T15:04:23.620000,36.550833,-117.056,4.4,4.58,508316
11897257,2024-10-25T14:35:25.250000,19.2025,-66.9925,3.71,40.0,136526
11897495,2024-10-25T12:54:38.941000,-21.3293,-68.702,4.3,130.91,7966815
11903319,2024-10-25T12:22:16.308000,42.006,142.6222,4.2,66.314,132968
11897218,2024-10-25T11:17:49.720000,19.1786,-64.6311,3.8,19.0,321627
11897222,2024-10-25T11:17:06.791000,37.033,142.0607,4.7,35.0,18094
11897207,2024-10-25T09:52:34.596000,-22.2187,-70.0444,4.2,45.331,5024299
11897208,2024-10-25T08:05:31.770000,35.372334,-117.395165,4.61,0.78,1144705
11897190,2024-10-25T08:05:08.290000,36.601667,-117.091167,4.7,3.98,1144705
11897186,2024-10-25T07:55:38.090000,36.604167,-117.097833,3.4,4.34,109380
11897174,2024-10-25T06:52:08.300000,36.604,-117.0985,4.17,4.34,545945
11897164,2024-10-25T05:38:05.010000,-21.6881,-68.4286,5.0,118.528,77613
11897153,2024-10-25T04:11:03.288000,55.5585,-151.9018,3.5,10.0,3936
11897132,2024-10-25T02:12:23.882000,31.9198,141.6628,4.6,10.0,12964
11902520,2024-10-25T00:18:01.385000,53.3336,159.674,4.4,58.675,1099408
11897092,2024-10-25T00:00:32.139000,-5.288,151.701,5.1,61.116,1008021
11897057,2024-10-24T21:51:00.140000,18.820333,-67.277833,3.11,6.23,37269
11897051,2024-10-24T21:20:42.780000,19.0958,-64.5135,3.49,61.0,37290
11896997,2024-10-24T19:23:15.460000,-17.5015,-70.7012,4.9,114.966,538886
11896994,2024-10-24T18:52:10.287000,-5.0842,152.1733,5.1,62.847,378246
11896978,2024-10-24T17:51:27.678000,25.4971,142.6492,5.1,10.0,700649
11896971,2024-10-24T17:39:27.412000,-21.7259,-67.2722,4.8,184.712,13025
11896960,2024-10-24T16:42:41.858000,-10.1334,160.9825,4.5,10.0,372387
11896948,2024-10-24T15:59:30.626000,24.1894,122.4765,4.2,73.179,2933448
11896933,2024-10-24T15:18:53.539000,52.6023,-171.9972,4.4,114.422,744123
11896877,2024-10-24T11:45:35.933000,-28.715,-71.7957,4.9,13.651,6978414
11904078,2024-10-24T11:16:19.046000,37.6962,142.1041,4.4,38.346,3453
11896813,2024-10-24T07:14:29.472000,52.2028,-170.4575,5.0,35.0,445560
11896773,2024-10-24T04:23:12.936000,-36.1603,-70.6887,4.4,10.0,1907685
11896740,2024-10-24T02:20:24.789000,-36.2719,-71.6125,4.3,91.963,1851811
11896743,2024-10-24T02:09:54.334000,-27.3141,-69.4361,4.4,109.725,72495
11896748,2024-10-24T01:52:52.605000,-15.5195,-177.7653,4.3,428.383,12551
11904009,2024-10-24T00:47:34.606000,-30.2002,-177.9396,4.4,97.064,390563
11896694,2024-10-23T22:49:34.926000,41.2931,78.5425,4.0,10.0,276119
11896832,2024-10-23T22:39:55.853000,54.1047,-165.9756,3.0,9.487,5047966
11896692,2024-10-23T22:36:01.270000,-24.3213,-67.1797,4.4,184.803,10650
11896671,2024-10-23T21:30:14.589000,-27.854,-176.5948,5.1,35.0,280007
11896635,2024-10-23T19:03:05.990000,18.9605,-64.955667,3.33,49.78,55796
11902104,2024-10-23T18:19:50.019000,25.3686,142.7449,4.6,10.0,115570
11896627,2024-10-23T17:49:32.841000,-24.0868,-67.0002,4.4,172.153,10731
11896585,2024-10-23T17:09:20.178000,59.8977,-153.0816,3.0,123.8,19666
11896545,2024-10-23T14:33:26.620000,18.9306,-68.5238,3.52,80.0,222470
11896604,2024-10-23T14:28:46.827000,52.3093,-176.5047,3.0,198.172,754582
11896739,2024-10-23T12:56:07.197000,-23.9654,-67.0763,4.3,186.933,18891
11896487,2024-10-23T09:37:13.063000,-19.0867,-69.3373,4.4,116.759,8045281
11896429,2024-10-23T05:31:50.320000,18.222667,-67.222333,3.18,101.42,37829
11896425,2024-10-23T04:51:17.660000,17.9358,-67.0863,3.29,6.0,54324
11896340,2024-10-23T00:13:03.319000,-21.7124,-68.597,4.4,136.849,21596
11896308,2024-10-22T22:18:02.965000,16.691,-99.2158,4.9,43.832,174233
11896313,2024-10-22T22:02:10.213000,22.0209,121.4705,4.5,10.0,54130
11901875,2024-10-22T19:38:18.678000,-24.2017,-67.0267,4.4,187.296,15438
11901851,2024-10-22T18:14:17.547000,5.6923,126.344,4.5,10.0,44907
11896591,2024-10-22T16:12:13.366000,27.8438,-111.3619,4.3,10.0,39785
11896186,2024-10-22T12:08:32.720000,-2.9805,147.4269,5.1,10.0,74269
11904100,2024-10-22T11:45:30.343000,-2.9694,147.1373,4.4,10.0,10363
11896104,2024-10-22T04:07:15.030000,18.9225,-64.912667,3.42,39.41,38164
11896060,2024-10-22T01:12:37.434000,36.172,141.2847,4.5,35.0,9593
