event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz
11831898,2024-03-31T23:14:02.716000,-10.0093,161.1636,4.2,85.563,45185
11823375,2024-03-31T23:12:32.100000,33.292667,-116.772333,3.1,13.6,331721
11823359,2024-03-31T21:16:43.656000,8.3213,126.5608,4.9,51.256,380934
11823327,2024-03-31T17:17:52.021000,-31.0444,-71.4045,4.5,62.09,448353
11832575,2024-03-31T16:41:39.859000,53.3407,-161.6393,3.1,35.0,4626
11823321,2024-03-31T16:37:02.960000,19.5695,-65.6631,3.84,102.0,48493
11825977,2024-03-31T15:57:19.323000,8.7719,126.2523,4.3,61.716,36882
11823304,2024-03-31T15:18:51.760000,19.1636,-67.116,3.75,5.0,146369
11823307,2024-03-31T13:38:46.660000,19.1265,-65.9406,3.51,39.0,46334
11823287,2024-03-31T13:33:10.750000,19.5473,-65.7093,3.58,48.0,44035
11823237,2024-03-31T10:14:06.363000,56.6084,-156.3936,3.8,54.9,3583500
11823239,2024-03-31T09:00:51.250000,17.976167,-66.848333,3.08,16.21,103740
11830742,2024-03-31T07:12:02.107000,-30.796,-177.5174,4.1,10.0,36647
11825747,2024-03-31T03:50:40.566000,10.7141,-86.2621,4.4,48.658,289020
11823177,2024-03-31T03:46:15.796000,10.7654,-86.1732,4.9,47.494,1431897
11823173,2024-03-31T03:01:44.594000,-19.847,-176.0058,5.5,10.0,61508
11832255,2024-03-31T02:45:31.255000,52.0698,-173.7844,3.2,104.275,19972
11832261,2024-03-31T02:35:25.469000,51.6632,178.334,3.0,73.51,4671522
11823161,2024-03-31T01:04:50.860000,18.084,-68.250333,3.24,48.42,32088
11823132,2024-03-31T00:25:15.149000,39.0066,70.8647,5.0,10.0,271727
11823157,2024-03-30T22:39:37.230000,18.800167,-65.354,3.39,6.32,32563
11828514,2024-03-30T22:07:30.574000,-19.8315,-176.0397,4.8,10.0,17042
11828507,2024-03-30T21:33:47.760000,-19.5041,-176.0797,4.4,8.822,7889
11828805,2024-03-30T21:32:36.907000,-19.706,-176.178,4.5,10.0,7889
11831905,2024-03-30T20:33:45.528000,52.7664,-168.6832,3.1,44.0,5045006
11828503,2024-03-30T20:04:08.351000,-27.8943,-177.8442,4.6,9.606,154803
11823038,2024-03-30T19:30:51.880000,34.111333,-117.317,3.09,17.0,108510
11828768,2024-03-30T19:00:59.434000,-19.781,-175.9309,4.6,10.0,21631
11832847,2024-03-30T18:59:06.477000,-19.5377,-175.8788,4.8,7.5,21631
11832657,2024-03-30T18:10:55.629000,-19.6269,-175.9599,4.8,10.0,18381
11823023,2024-03-30T17:35:49.670000,-19.7019,-175.9239,5.2,10.0,24907
11823014,2024-03-30T16:44:25.049000,-19.7708,-176.0022,5.3,10.249,34167
11823012,2024-03-30T16:28:57.851000,52.0869,178.4271,5.8,114.722,4228943
11823000,2024-03-30T14:38:26.708000,-19.6467,-175.8232,4.8,10.0,22027
11825975,2024-03-30T14:32:43.601000,-19.8246,-175.7682,4.5,11.255,20429
11822995,2024-03-30T14:30:58.425000,61.6295,-151.974,3.0,92.8,10825
11825929,2024-03-30T13:50:46.786000,42.5389,43.637,4.1,10.0,27855
11822983,2024-03-30T13:44:35.626000,42.559,43.597,4.7,10.0,130666
11822918,2024-03-30T11:03:42.760000,18.845,-67.4555,3.23,10.17,50063
11831805,2024-03-30T10:53:23.287000,52.2801,-170.1073,3.0,35.0,20180
11823110,2024-03-30T09:03:18.301000,-23.812,-71.1518,4.3,10.0,7370894
11830359,2024-03-30T08:51:05.598000,-20.9892,-176.2161,4.2,186.192,18081
11822883,2024-03-30T08:42:39.982000,40.8988,-81.0575,3.0,6.234,6429
11822888,2024-03-30T08:35:05.948000,-21.0951,-68.9704,4.5,115.921,7782868
