event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz,tsunami_flag_usgs
11868983,2024-07-31 20:13:45.420,19.384,-155.241,3.09,1.65,11337,0
11875250,2024-07-31 17:33:06.574,-19.2173,65.16,4.5,10.0,7961,0
11868916,2024-07-31 15:20:02.003,54.4105,-159.8556,3.4,35.0,16826,0
11868896,2024-07-31 15:18:03.258,-17.6696,179.9548,5.7,606.211,27611658,0
11878928,2024-07-31 14:30:03.300,52.5306,-168.1455,3.6,38.264,5012205,0
11878906,2024-07-31 13:18:47.607,43.3911,-127.2936,3.7,10.0,37376,0
11868871,2024-07-31 12:53:02.130,18.7535,-65.0315,3.02,30.4,54721,0
11868858,2024-07-31 11:01:54.262,-23.4813,-67.7293,4.4,163.747,12536,0
11868819,2024-07-31 08:20:43.815,59.0899,-139.0517,4.6,15.7,265294,1
11868824,2024-07-31 08:00:18.199,51.2684,173.2588,4.2,23.523,25161,0
11868803,2024-07-31 06:03:32.040,19.294333,-67.604667,3.27,25.79,33820,0
11868802,2024-07-31 06:00:25.178,53.5198,-163.7171,3.6,10.0,26514,0
11868799,2024-07-31 05:49:09.940,19.854,-66.590167,3.42,56.92,76073,0
11868767,2024-07-31 04:05:00.778,59.5353,-152.9128,3.0,105.6,13603,0
11875333,2024-07-31 01:03:37.866,-9.6568,161.3524,4.3,10.0,45858,0
11868675,2024-07-30 20:49:10.160,17.991,-66.9885,3.49,10.0,173688,0
11868863,2024-07-30 20:35:32.627,13.2064,-87.815,4.7,172.595,433820,0
11868611,2024-07-30 17:45:05.874,78.3248,-19.5989,5.1,10.0,160421,0
11868591,2024-07-30 16:53:08.508,31.675,-104.193,3.2,7.3816,21233,0
11868594,2024-07-30 16:47:16.455,35.6203,139.4463,4.6,125.485,396101,0
11868573,2024-07-30 13:07:12.167,-23.5319,-66.7989,4.2,198.935,9085,0
11868504,2024-07-30 10:36:20.541,6.2936,126.1023,4.6,60.782,285370,0
11868474,2024-07-30 07:06:31.820,18.8695,-68.1165,3.7,97.0,285367,0
11868465,2024-07-30 06:27:40.220,19.388333,-155.244667,3.35,1.64,14638,0
11868447,2024-07-30 05:04:16.200,-21.3145,-68.991,4.2,119.968,7982703,0
11874578,2024-07-30 01:01:03.007,53.4804,-163.5528,4.3,19.156,12321,0
11868383,2024-07-29 23:23:07.487,61.6495,-148.0231,3.2,17.3,256706,0
11868375,2024-07-29 20:38:51.942,52.0497,-170.9755,3.6,35.0,15787,0
11868291,2024-07-29 20:00:52.590,34.950333,-116.786667,4.89,7.26,8731898,0
11868280,2024-07-29 19:40:27.780,19.301167,-155.213667,3.68,7.65,302129,0
11874385,2024-07-29 15:14:06.595,13.7809,145.0349,4.3,143.79,7763,0
11868200,2024-07-29 14:12:06.333,21.6508,121.1236,4.7,33.867,71614,0
11868147,2024-07-29 13:07:11.966,-20.3812,-173.9806,6.0,9.0,376452,0
11875153,2024-07-29 12:21:28.094,-15.3757,-171.9133,4.1,10.0,16784,0
11868096,2024-07-29 10:16:56.913,60.8908,-146.8535,3.1,24.3,574472,0
11868045,2024-07-29 04:49:27.125,52.028,-174.5247,4.8,68.115,3516489,1
11868048,2024-07-29 04:05:38.856,51.5559,-175.0847,3.8,10.0,97194,0
11874123,2024-07-29 03:25:36.201,-13.8643,167.135,4.4,208.378,25592,0
11868036,2024-07-29 03:13:34.975,-24.3137,-67.199,4.3,174.207,7694,0
11868022,2024-07-29 01:03:37.150,19.419,-68.7571,3.1,47.0,271899,0
11875716,2024-07-29 00:09:52.097,-30.0274,-177.4051,4.4,40.262,538115,0
11867997,2024-07-28 22:43:53.155,-30.11,-177.2897,5.0,10.0,1296324,0
11867878,2024-07-28 14:19:43.359,14.8283,146.7774,5.1,10.0,60839,0
11874999,2024-07-28 14:17:29.761,-3.7549,139.8707,4.3,10.0,3727,0
11873880,2024-07-28 07:27:13.908,-3.0624,148.3006,4.3,10.0,14651,0
