event_id,time_utc,latitude,longitude,magnitude,depth_km,max_amplitude_bhz,tsunami_flag_usgs
11879716,2024-08-31 22:25:12.518,63.5585,-147.6917,3.4,3.1,152898,0
11879710,2024-08-31 21:16:47.780,17.7863,-68.0685,3.83,39.0,161940,0
11879886,2024-08-31 18:33:39.413,29.5669,130.7292,4.4,37.255,6332,0
11879690,2024-08-31 18:21:42.072,23.8035,121.6994,4.5,24.514,3082475,0
11888706,2024-08-31 18:06:55.574,-17.9212,176.4423,4.3,10.344,27570333,0
11879636,2024-08-31 13:04:47.847,-29.8419,-71.6963,5.0,26.411,19382227,0
11879638,2024-08-31 13:04:14.319,31.9125,131.7998,4.9,44.209,74489,0
11879607,2024-08-31 10:01:04.052,31.627,-104.007,3.4,6.0999,12335,0
11879598,2024-08-31 08:53:48.700,-3.4079,139.7218,5.0,49.939,11725,0
11888508,2024-08-31 08:10:30.090,7.7758,124.6273,4.5,9.032,164018,0
11879581,2024-08-31 07:49:06.456,59.8164,-151.3562,3.7,49.3,313574,0
11879562,2024-08-31 04:26:33.146,-27.1366,-70.9621,4.2,41.008,265362,0
11879553,2024-08-31 03:52:19.011,12.6938,-88.3182,4.1,68.3,799351,0
11879545,2024-08-31 03:10:05.578,6.6974,-73.0714,4.4,160.692,224086,0
11879542,2024-08-31 02:41:47.259,26.0174,142.5586,4.7,10.0,81363,0
11879541,2024-08-31 02:40:49.879,17.5837,-61.1395,4.3,34.584,72117,0
11879529,2024-08-31 00:41:55.219,53.5169,-165.913,3.5,35.0,5039963,0
11879516,2024-08-30 23:20:25.373,-30.0633,-71.5575,4.4,35.554,4916516,0
11879496,2024-08-30 22:01:59.157,28.6347,84.3475,4.1,10.0,104462,0
11879487,2024-08-30 21:07:56.510,18.1398,-68.5848,3.69,110.0,244229,0
11879462,2024-08-30 19:28:37.630,19.3348,-67.4605,3.0,26.0,67105,0
11879454,2024-08-30 18:21:57.655,52.6146,-168.7492,4.0,41.024,5041274,0
11879456,2024-08-30 16:04:39.731,51.2768,-174.9957,3.5,10.0,24323,0
11879320,2024-08-30 14:03:40.734,11.7661,-87.0839,4.3,55.02,2787088,0
11879293,2024-08-30 10:53:25.918,25.9932,142.6321,4.9,10.0,224531,0
11879331,2024-08-30 10:08:05.426,12.9858,-89.608,4.2,41.468,116913,0
11879247,2024-08-30 06:15:49.754,6.1051,126.0203,4.6,131.417,155165,0
11888390,2024-08-30 04:40:51.456,15.9001,146.6698,4.5,47.218,23877,0
11879234,2024-08-30 04:24:22.983,53.0016,160.3787,6.0,26.0,43175958,0
11879139,2024-08-29 22:06:57.720,17.9666,-67.0055,3.52,8.0,1097680,0
11879115,2024-08-29 20:03:42.107,26.0079,142.6428,4.8,10.0,398243,0
11878993,2024-08-29 14:19:01.498,9.8979,-70.7414,4.5,13.996,6889011,0
11878979,2024-08-29 07:43:56.247,12.9716,-89.5978,4.4,46.34,384966,0
11878885,2024-08-29 06:22:50.350,20.118667,-155.414333,3.01,-1.34,52148,0
11878880,2024-08-29 05:52:20.971,-15.267,167.5887,4.9,170.194,924427,0
11878747,2024-08-28 21:57:53.703,13.0076,-89.4958,6.1,18.0,3266839,0
11878727,2024-08-28 20:14:52.391,24.119,121.6682,4.4,31.313,3605182,0
11878713,2024-08-28 19:57:22.208,31.663,-104.363,3.8,6.7664,130531,0
11878626,2024-08-28 16:16:25.920,19.022833,-67.133,3.34,20.76,46483,0
11878639,2024-08-28 16:13:54.334,-36.165,-73.8286,4.9,20.872,218558,0
11878620,2024-08-28 15:47:44.635,5.4625,124.9552,4.8,65.666,434401,0
11878524,2024-08-28 12:43:01.070,33.6755,-116.72,3.1,15.85,304563,0
11878451,2024-08-28 05:27:07.258,-15.1733,166.8297,4.9,10.0,3938024,0
11878437,2024-08-28 04:50:30.950,17.9645,-66.9995,3.55,8.0,538126,0
11879179,2024-08-28 03:03:59.177,6.7661,-73.006,4.6,157.69,423706,0
11878416,2024-08-28 02:44:16.842,-28.5776,-69.6199,4.5,97.186,5713194,0
11878352,2024-08-27 22:44:35.505,60.3263,-152.181,3.0,104.1,69846,0
11878347,2024-08-27 22:12:01.200,54.2995,-162.7142,4.5,54.595,2654390,0
11878272,2024-08-27 17:05:11.134,35.5031,139.5481,4.6,51.444,5817205,0
11878264,2024-08-27 15:51:01.119,-20.8674,-69.1868,4.4,112.895,7991268,0
11878252,2024-08-27 15:01:00.105,54.4464,-159.6514,4.0,35.0,48304,0
