0,1,2,3,4,5,6,7
서울특별시,종로구,청운효자동,20201006,M,50,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200826,M,30,52.451192255,1
서울특별시,종로구,청운효자동,20200808,F,25,307.21412607,1111051500
서울특별시,종로구,청운효자동,20201009,M,55,67.437247185,1111051500
서울특별시,종로구,청운효자동,20200818,F,35,37.465137325,1111051500
서울특별시,종로구,청운효자동,20201022,F,45,44.95816479,1111051500
서울특별시,종로구,청운효자동,20201015,X,xx,82.423302115,1111051500
서울특별시,종로구,청운효자동,20201002,M,40,59.94421972,1111051500
서울특별시,종로구,청운효자동,20200918,M,55,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200815,F,55,44.95816479,1111051500
서울특별시,종로구,청운효자동,20200814,M,55,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200829,X,xx,37.465137325,1111051500
서울특별시,종로구,청운효자동,20200916,F,40,59.94421972,1111051500
서울특별시,종로구,청운효자동,20200921,M,25,22.479082395,1111051500
서울특별시,종로구,청운효자동,20201010,F,20,149.8605493,1111051500
서울특별시,종로구,청운효자동,20201010,M,30,112.39541198,1111051500
서울특별시,종로구,청운효자동,20201009,M,20,44.95816479,1111051500
서울특별시,종로구,청운효자동,20201011,M,35,112.39541198,1
서울특별시,종로구,청운효자동,20201028,M,40,59.94421972,1111051500
서울특별시,종로구,청운효자동,20201002,F,30,104.90238451,1111051500
서울특별시,종로구,청운효자동,20201027,F,55,37.465137325,1111051500
서울특별시,종로구,청운효자동,20201027,M,40,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200819,F,40,29.97210986,1111051500
서울특별시,종로구,청운효자동,20201015,F,35,89.91632958,1111051500
서울특별시,종로구,청운효자동,20201021,M,30,74.93027465,1111051500
서울특별시,종로구,청운효자동,20200919,M,65,44.95816479,1111051500
서울특별시,종로구,청운효자동,20200817,F,55,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200811,F,30,37.465137325,1111051500
서울특별시,종로구,청운효자동,20200917,F,20,67.437247185,1111051500
서울특별시,종로구,청운효자동,20200919,F,65,22.479082395,1111051500
서울특별시,종로구,청운효자동,20201031,M,25,119.88843944,1111051500
서울특별시,종로구,청운효자동,20200821,F,40,59.94421972,1111051500
서울특별시,종로구,청운효자동,20200915,F,50,44.95816479,1111051500
서울특별시,종로구,청운효자동,20200821,M,35,37.465137325,1
서울특별시,종로구,청운효자동,20200807,M,40,37.465137325,1111051500
서울특별시,종로구,청운효자동,20200901,M,25,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200903,F,30,59.94421972,1111051500
서울특별시,종로구,청운효자동,20200919,F,40,59.94421972,1111051500
서울특별시,종로구,청운효자동,20200903,M,25,52.451192255,1111051500
서울특별시,종로구,청운효자동,20200805,F,30,52.451192255,1111051500
서울특별시,종로구,청운효자동,20200923,F,40,74.93027465,1111051500
서울특별시,종로구,청운효자동,20200904,F,60,22.479082395,1111051500
서울특별시,종로구,청운효자동,20201021,F,40,97.409357045,1111051500
서울특별시,종로구,청운효자동,20200904,M,30,52.451192255,1111051500
서울특별시,종로구,청운효자동,20201004,M,35,67.437247185,1111051500
서울특별시,종로구,청운효자동,20200902,F,40,82.423302115,1111051500
서울특별시,종로구,청운효자동,20200922,M,35,44.95816479,1111051500
