날짜,평균기온,최고기온
2020-03-01,5.8,10.1
2020-03-02,3.4,7.6
2020-03-03,4.8,10.5
2020-03-04,2.2,4.6
2020-03-05,1.4,6.3
2020-03-06,3.7,10.1
2020-03-07,7.0,14.2
2020-03-08,9.3,16.9
2020-03-09,11.1,17.6
2020-03-10,6.4,10.8
2020-03-11,3.8,8.3
2020-03-12,6.8,13.3
2020-03-13,4.9,8.7
2020-03-14,3.6,8.6
2020-03-15,4.0,8.5
2020-03-16,3.6,9.1
2020-03-17,6.6,12.3
2020-03-18,10.0,17.0
2020-03-19,9.1,12.1
2020-03-20,8.8,14.0
2020-03-21,12.8,19.5
2020-03-22,11.0,16.5
2020-03-23,10.6,17.0
2020-03-24,11.4,17.9
2020-03-25,12.5,19.2
2020-03-26,14.8,20.6
2020-03-27,11.9,15.8
2020-03-28,7.7,12.8
2020-03-29,8.7,16.1
2020-03-30,10.2,16.9
2020-03-31,11.9,18.6
2020-04-01,11.3,17.4
2020-04-02,9.3,15.5
2020-04-03,10.0,16.3
2020-04-04,8.9,13.3
2020-04-05,7.2,13.7
2020-04-06,9.3,16.1
2020-04-07,10.6,16.8
2020-04-08,9.4,14.2
2020-04-09,8.9,14.7
2020-04-10,10.7,16.8
2020-04-11,9.9,16.0
2020-04-12,9.9,15.6
2020-04-13,12.4,20.4
2020-04-14,13.0,19.6
2020-04-15,13.2,20.2
2020-04-16,16.0,23.8
2020-04-17,12.5,15.4
2020-04-18,13.5,19.6
2020-04-19,12.3,15.5
2020-04-20,10.0,13.1
2020-04-21,7.4,10.4
2020-04-22,6.0,8.3
2020-04-23,7.9,12.8
2020-04-24,9.9,14.3
2020-04-25,13.1,17.1
2020-04-26,12.3,19.0
2020-04-27,12.9,18.3
2020-04-28,13.9,19.9
2020-04-29,14.9,21.0
2020-04-30,17.1,23.4
2020-05-01,20.2,26.2
2020-05-02,20.3,23.9
2020-05-03,21.8,27.4
2020-05-04,20.2,25.3
2020-05-05,16.0,19.3
2020-05-06,19.4,27.6
2020-05-07,20.7,26.5
2020-05-08,19.9,27.3
2020-05-09,14.2,16.8
2020-05-10,14.4,16.6
2020-05-11,16.5,22.0
2020-05-12,14.3,18.9
2020-05-13,16.1,21.8
2020-05-14,19.3,25.4
2020-05-15,16.1,20.2
2020-05-16,16.7,20.3
2020-05-17,19.1,24.9
2020-05-18,19.1,26.8
2020-05-19,13.0,17.1
2020-05-20,14.4,20.1
2020-05-21,17.4,22.9
2020-05-22,18.5,22.7
2020-05-23,20.1,25.0
2020-05-24,17.1,20.2
2020-05-25,16.6,21.3
2020-05-26,16.2,22.9
2020-05-27,17.4,23.9
2020-05-28,18.7,23.4
2020-05-29,20.7,27.6
2020-05-30,22.6,30.0
2020-05-31,21.2,28.0
2020-06-01,19.7,24.5
2020-06-02,17.9,21.8
2020-06-03,22.0,28.4
2020-06-04,21.9,26.5
2020-06-05,23.0,28.7
2020-06-06,24.6,30.9
2020-06-07,22.7,29.2
2020-06-08,25.0,32.0
2020-06-09,26.7,32.8
2020-06-10,25.8,32.1
2020-06-11,26.1,31.6
2020-06-12,24.7,27.6
2020-06-13,26.9,33.5
2020-06-14,24.0,28.8
2020-06-15,23.0,28.6
2020-06-16,24.4,30.7
2020-06-17,24.3,30.3
2020-06-18,23.4,27.3
2020-06-19,24.7,30.0
2020-06-20,24.9,29.7
2020-06-21,26.1,32.7
2020-06-22,28.6,35.4
2020-06-23,27.3,31.0
2020-06-24,22.3,26.3
2020-06-25,21.6,23.4
2020-06-26,21.8,25.7
2020-06-27,24.1,29.6
2020-06-28,25.2,30.1
2020-06-29,23.8,26.5
2020-06-30,20.1,23.1
2020-07-01,21.1,24.3
2020-07-02,24.2,29.8
2020-07-03,25.5,30.6
2020-07-04,24.2,29.5
2020-07-05,23.8,27.6
2020-07-06,25.6,30.9
2020-07-07,24.1,28.1
2020-07-08,25.5,30.4
2020-07-09,27.5,32.9
2020-07-10,24.5,27.7
2020-07-11,25.8,30.2
2020-07-12,23.5,26.0
2020-07-13,18.7,21.7
2020-07-14,20.3,24.3
2020-07-15,23.4,28.7
2020-07-16,25.0,29.7
2020-07-17,26.0,31.6
2020-07-18,26.1,31.0
2020-07-19,24.0,26.6
2020-07-20,23.8,26.6
2020-07-21,25.0,30.5
2020-07-22,23.7,25.7
2020-07-23,21.1,22.6
2020-07-24,22.5,26.8
2020-07-25,24.3,29.0
2020-07-26,25.4,29.6
2020-07-27,24.3,25.5
2020-07-28,24.4,26.4
2020-07-29,23.7,24.9
2020-07-30,25.3,28.4
2020-07-31,26.2,29.6
2020-08-01,25.3,26.9
2020-08-02,24.9,26.4
2020-08-03,25.0,26.3
2020-08-04,27.0,29.4
2020-08-05,26.5,29.1
2020-08-06,24.1,26.0
2020-08-07,24.3,26.1
2020-08-08,24.2,26.1
2020-08-09,24.9,25.8
2020-08-10,26.5,29.5
2020-08-11,24.6,27.3
2020-08-12,27.2,31.3
2020-08-13,28.0,30.3
2020-08-14,27.1,28.0
2020-08-15,26.1,27.0
2020-08-16,27.4,30.8
2020-08-17,28.2,32.2
2020-08-18,27.5,31.9
2020-08-19,27.1,31.4
2020-08-20,27.7,31.7
2020-08-21,26.6,29.2
2020-08-22,24.3,27.6
2020-08-23,25.3,29.9
2020-08-24,27.8,32.0
2020-08-25,29.9,34.5
2020-08-26,30.2,34.5
2020-08-27,27.1,28.6
2020-08-28,27.3,29.7
2020-08-29,26.8,29.0
2020-08-30,26.8,30.6
2020-08-31,26.4,30.0
2020-09-01,26.6,29.5
2020-09-02,24.3,26.4
2020-09-03,22.7,25.6
2020-09-04,23.3,27.5
2020-09-05,23.3,27.3
2020-09-06,21.7,24.4
2020-09-07,19.2,20.6
2020-09-08,23.4,26.5
2020-09-09,21.1,25.3
2020-09-10,22.8,27.0
2020-09-11,22.4,27.1
2020-09-12,20.2,23.2
2020-09-13,21.5,26.6
2020-09-14,21.3,24.9
2020-09-15,23.0,27.7
2020-09-16,22.5,24.9
2020-09-17,21.3,23.6
2020-09-18,21.5,25.8
2020-09-19,21.2,26.2
2020-09-20,19.7,24.9
2020-09-21,19.1,25.3
2020-09-22,20.2,25.6
2020-09-23,19.2,23.8
2020-09-24,20.6,25.4
2020-09-25,20.1,25.4
2020-09-26,19.3,24.8
2020-09-27,20.4,25.8
2020-09-28,20.7,26.5
2020-09-29,19.6,23.9
2020-09-30,19.6,25.7
2020-10-01,18.8,23.6
2020-10-02,19.2,21.9
2020-10-03,19.9,23.2
2020-10-04,16.6,21.8
2020-10-05,13.3,18.4
2020-10-06,14.2,19.7
2020-10-07,16.0,22.0
2020-10-08,17.2,23.1
2020-10-09,17.2,23.3
2020-10-10,16.9,21.5
2020-10-11,16.9,20.8
2020-10-12,16.2,21.3
2020-10-13,13.6,18.4
2020-10-14,12.8,18.0
2020-10-15,11.7,18.5
2020-10-16,11.8,15.4
2020-10-17,13.1,18.6
2020-10-18,13.6,20.2
2020-10-19,15.1,21.3
2020-10-20,15.2,21.7
2020-10-21,14.1,17.3
2020-10-22,13.5,18.2
2020-10-23,8.6,13.3
2020-10-24,8.7,14.0
2020-10-25,11.8,18.2
2020-10-26,12.9,19.0
2020-10-27,14.0,19.4
2020-10-28,13.8,18.2
2020-10-29,10.8,16.1
2020-10-30,11.9,19.6
2020-10-31,13.6,18.2
