날짜,평균습도
2023-05-01,57.0
2023-05-02,40.5
2023-05-03,52.5
2023-05-04,65.5
2023-05-05,95.3
2023-05-06,85.6
2023-05-07,47.1
2023-05-08,55.3
2023-05-09,55.4
2023-05-10,53.3
2023-05-11,50.1
2023-05-12,50.9
2023-05-13,62.0
2023-05-14,56.5
2023-05-15,54.6
2023-05-16,51.9
2023-05-17,63.6
2023-05-18,74.8
2023-05-19,61.4
2023-05-20,66.9
2023-05-21,74.0
2023-05-22,61.3
2023-05-23,48.0
2023-05-24,49.8
2023-05-25,46.6
2023-05-26,57.4
2023-05-27,87.4
2023-05-28,98.9
2023-05-29,83.4
2023-05-30,69.5
2023-05-31,60.8
2023-06-01,66.9
2023-06-02,77.4
2023-06-03,60.1
2023-06-04,61.0
2023-06-05,66.9
2023-06-06,72.9
2023-06-07,75.3
2023-06-08,80.5
2023-06-09,64.0
2023-06-10,70.0
2023-06-11,76.1
2023-06-12,70.5
2023-06-13,70.0
2023-06-14,80.3
2023-06-15,70.8
2023-06-16,64.4
2023-06-17,57.1
2023-06-18,60.5
2023-06-19,57.8
2023-06-20,64.5
2023-06-21,92.6
2023-06-22,77.1
2023-06-23,76.6
2023-06-24,70.5
2023-06-25,64.9
2023-06-26,88.6
2023-06-27,73.1
2023-06-28,77.4
2023-06-29,95.4
2023-06-30,89.8
2023-07-01,76.9
2023-07-02,79.5
2023-07-03,72.0
2023-07-04,86.8
2023-07-05,82.6
2023-07-06,70.9
2023-07-07,64.9
2023-07-08,76.5
2023-07-09,86.4
2023-07-10,80.4
2023-07-11,92.4
2023-07-12,86.4
2023-07-13,95.0
2023-07-14,99.1
2023-07-15,93.5
2023-07-16,89.5
2023-07-17,86.1
2023-07-18,87.9
2023-07-19,78.8
2023-07-20,74.0
2023-07-21,69.6
2023-07-22,73.9
2023-07-23,94.3
2023-07-24,83.1
2023-07-25,80.5
2023-07-26,80.9
2023-07-27,78.1
2023-07-28,72.4
2023-07-29,72.1
2023-07-30,72.5
2023-07-31,76.3
2023-08-01,71.6
2023-08-02,67.8
2023-08-03,67.0
2023-08-04,67.6
2023-08-05,69.0
2023-08-06,76.5
2023-08-07,68.4
2023-08-08,60.5
2023-08-09,67.6
2023-08-10,91.9
2023-08-11,93.1
2023-08-12,91.0
2023-08-13,76.9
2023-08-14,75.4
2023-08-15,71.4
2023-08-16,72.0
2023-08-17,73.0
2023-08-18,72.1
2023-08-19,68.9
2023-08-20,71.8
2023-08-21,69.8
2023-08-22,80.3
2023-08-23,91.3
2023-08-24,84.8
2023-08-25,77.9
2023-08-26,72.3
2023-08-27,75.0
2023-08-28,87.5
2023-08-29,89.6
2023-08-30,88.0
2023-08-31,76.9
2023-09-01,70.6
2023-09-02,63.9
2023-09-03,77.8
2023-09-04,79.9
2023-09-05,69.5
2023-09-06,65.1
2023-09-07,54.8
2023-09-08,60.3
2023-09-09,66.3
2023-09-10,68.1
2023-09-11,67.3
2023-09-12,69.8
2023-09-13,84.5
2023-09-14,72.4
2023-09-15,82.3
2023-09-16,87.8
2023-09-17,84.8
2023-09-18,79.1
2023-09-19,81.1
2023-09-20,90.4
2023-09-21,70.9
2023-09-22,68.4
2023-09-23,63.9
2023-09-24,56.4
2023-09-25,66.4
2023-09-26,95.8
2023-09-27,90.1
2023-09-28,78.3
2023-09-29,61.5
2023-09-30,77.0
2023-10-01,59.5
2023-10-02,53.8
2023-10-03,66.3
2023-10-04,75.5
2023-10-05,46.1
2023-10-06,55.3
2023-10-07,62.6
2023-10-08,67.1
2023-10-09,68.1
2023-10-10,67.1
2023-10-11,57.5
2023-10-12,62.4
2023-10-13,69.6
2023-10-14,84.9
2023-10-15,80.0
2023-10-16,57.0
2023-10-17,55.6
2023-10-18,67.0
2023-10-19,82.5
2023-10-20,46.9
2023-10-21,54.8
2023-10-22,67.3
2023-10-23,73.8
2023-10-24,78.5
2023-10-25,78.6
2023-10-26,79.4
2023-10-27,71.1
2023-10-28,62.9
2023-10-29,61.6
2023-10-30,72.0
2023-10-31,76.0
