날짜,강수량
2019-08-01,26.9
2019-08-02,0.0
2019-08-03,3.0
2019-08-04,8.6
2019-08-05,0.0
2019-08-06,0.0
2019-08-07,8.0
2019-08-08,0.0
2019-08-09,0.0
2019-08-10,0.0
2019-08-11,6.7
2019-08-12,56.2
2019-08-13,6.4
2019-08-14,0.0
2019-08-15,16.2
2019-08-16,0.1
2019-08-17,0.0
2019-08-18,0.0
2019-08-19,0.0
2019-08-20,0.0
2019-08-21,1.3
2019-08-22,0.0
2019-08-23,0.0
2019-08-24,0.0
2019-08-25,0.0
2019-08-26,0.0
2019-08-27,20.0
2019-08-28,0.0
2019-08-29,36.9
2019-08-30,0.2
2019-08-31,0.0
2019-09-01,0.0
2019-09-02,0.0
2019-09-03,0.0
2019-09-04,22.7
2019-09-05,36.4
2019-09-06,2.4
2019-09-07,2.8
2019-09-08,0.0
2019-09-09,0.0
2019-09-10,63.2
2019-09-11,7.6
2019-09-12,3.9
2019-09-13,0.1
2019-09-14,0.3
2019-09-15,0.0
2019-09-16,0.0
2019-09-17,0.0
2019-09-18,0.0
2019-09-19,0.0
2019-09-20,0.0
2019-09-21,0.0
2019-09-22,0.4
2019-09-23,0.0
2019-09-24,0.0
2019-09-25,0.0
2019-09-26,0.0
2019-09-27,0.0
2019-09-28,0.0
2019-09-29,0.0
2019-09-30,0.0
2019-10-01,0.0
2019-10-02,23.1
2019-10-03,4.6
2019-10-04,0.0
2019-10-05,0.6
2019-10-06,0.0
2019-10-07,25.4
2019-10-08,0.0
2019-10-09,0.0
2019-10-10,0.0
2019-10-11,0.0
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,0.0
2019-10-15,0.0
2019-10-16,0.0
2019-10-17,0.0
2019-10-18,0.0
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,0.0
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,0.0
2019-10-26,0.0
2019-10-27,0.0
2019-10-28,1.7
2019-10-29,0.1
2019-10-30,0.0
2019-10-31,0.0
