tsunami,magnitude,depth,latitude,longitude,Year,Month
0,5.4,33.936,-28.229,-71.3898,2024,2
0,5.3,113.11,-22.1579,-68.682,2024,1
0,5.4,10.0,-30.2226,-72.2289,2024,1
0,5.3,202.477,-23.3523,-66.6742,2024,1
0,5.4,175.245,-21.9201,-67.253,2024,1
0,5.5,117.0,-28.4553,-68.9432,2024,1
0,5.8,16.0,-38.0756,-73.8819,2023,12
0,5.6,61.708,-21.9025,-70.2778,2023,12
0,5.5,191.769,-24.1126,-66.8382,2023,12
0,5.8,112.0,-19.1959,-69.0592,2023,12
1,6.6,34.0,-28.7457,-71.5726,2023,10
0,5.4,101.15,-28.6909,-70.3075,2023,10
0,6.0,253.0,-22.8844,-66.2242,2023,10
0,5.6,571.448,-23.6067,-63.6564,2023,10
0,5.7,8.0,-27.3252,-71.5543,2023,9
0,5.3,110.914,-20.6514,-68.5222,2023,9
0,5.5,21.043,-27.1542,-71.2479,2023,9
0,6.3,36.0,-30.2775,-71.536,2023,9
0,6.2,554.0,-26.9212,-63.3389,2023,8
0,6.2,575.0,-28.2143,-63.1854,2023,8
0,6.6,186.0,-38.1911,-70.3731,2023,7
0,5.7,99.0,-33.2122,-70.3268,2023,7
0,5.8,135.0,-23.9264,-67.9077,2023,7
0,5.5,47.174,-8.7179,110.181,2024,8
0,5.1,8.078,14.7827,108.243,2024,7
0,5.1,10.0,0.0963,96.4898,2024,7
0,5.4,9.0,-5.3869,101.059,2024,7
0,5.1,65.051,0.4081,98.5654,2024,6
0,5.5,19.0,-3.6267,100.699,2024,6
0,5.7,21.0,2.8312,95.6044,2024,5
0,6.1,59.701,-8.1104,107.272,2024,4
0,6.4,9.471,-5.8668,112.362,2024,3
0,5.6,10.0,-5.8086,112.311,2024,3
0,5.2,10.0,-5.8146,102.185,2024,3
0,5.6,34.0,-7.362,105.925,2024,2
0,5.4,54.787,-7.435,105.536,2023,8
0,5.5,575.691,-6.1198,113.147,2023,8
0,5.9,88.891,10.501,93.4505,2023,7
0,5.2,37.801,5.3539,94.5693,2023,7
0,5.9,76.421,-8.6741,110.041,2023,6
1,4.7,10.0,51.3957,-130.863,2024,9
1,6.5,10.0,51.6758,-130.632,2024,9
1,4.3,15.0,60.6032,-146.917,2024,9
1,3.9,126.3,59.8159,-153.249,2024,9
1,4.6,48.2,59.6591,-151.499,2024,9
1,5.0,25.0,54.5449,-159.729,2024,8
1,5.1,28.58,54.5455,-159.689,2024,8
