기준일자,평균기온,최고기온,강수량,평균습도
20190801,26.3,30.1,26.9,86.4
20190802,28.4,33.1,0.0,74.6
20190803,29.4,36.0,3.0,69.0
20190804,28.3,34.4,8.6,75.9
20190805,30.5,35.9,0.0,65.5
20190806,31.6,36.8,0.0,51.4
20190807,26.9,30.3,8.0,78.1
20190808,28.9,32.7,0.0,71.4
20190809,29.8,34.6,0.0,69.0
20190810,31.5,36.5,0.0,57.9
20190811,30.4,35.7,6.7,53.6
20190812,26.6,28.5,56.2,91.8
20190813,29.2,35.3,6.4,76.9
20190814,30.4,35.7,0.0,63.9
20190815,25.9,28.6,16.2,82.0
20190816,25.9,29.5,0.1,74.5
20190817,25.9,28.8,0.0,69.5
20190818,25.6,30.7,0.0,66.5
20190819,26.3,31.3,0.0,60.6
20190820,28.2,32.8,0.0,56.3
20190821,27.0,30.4,1.3,67.3
20190822,26.9,31.4,0.0,66.5
20190823,26.2,30.5,0.0,58.4
20190824,24.1,27.3,0.0,60.9
20190825,25.0,29.9,0.0,66.6
20190826,26.4,32.1,0.0,63.8
20190827,25.7,29.3,20.0,71.1
20190828,26.1,30.2,0.0,66.2
20190829,23.4,26.4,36.9,77.1
20190830,22.6,27.0,0.2,66.3
20190831,23.5,28.9,0.0,65.0
20190901,23.7,27.8,0.0,64.0
20190902,24.4,29.7,0.0,56.6
20190903,24.1,28.0,0.0,67.6
20190904,22.8,25.5,22.7,89.0
20190905,23.0,27.6,36.4,91.4
20190906,25.3,29.1,2.4,79.8
20190907,25.7,29.5,2.8,72.9
20190908,24.7,27.3,0.0,76.9
20190909,25.1,28.0,0.0,74.3
20190910,23.8,26.5,63.2,93.4
20190911,24.3,28.7,7.6,71.4
20190912,21.0,22.9,3.9,72.3
20190913,23.3,29.3,0.1,60.4
20190914,22.4,24.1,0.3,80.0
20190915,24.2,30.0,0.0,70.4
20190916,24.5,30.5,0.0,53.0
20190917,23.5,29.0,0.0,41.6
20190918,21.0,25.4,0.0,46.0
20190919,19.5,26.0,0.0,46.5
20190920,19.6,24.2,0.0,52.8
20190921,19.6,22.1,0.0,60.3
20190922,18.6,19.6,0.4,63.4
20190923,20.0,24.6,0.0,51.1
20190924,19.8,26.5,0.0,61.3
20190925,20.9,27.4,0.0,64.4
20190926,22.9,29.0,0.0,59.3
20190927,22.9,27.0,0.0,57.5
20190928,23.7,29.2,0.0,58.9
20190929,22.6,28.6,0.0,60.6
20190930,22.4,29.9,0.0,61.0
20191001,23.1,28.2,0.0,67.1
20191002,21.6,24.2,23.1,88.0
20191003,22.4,27.3,4.6,73.4
20191004,22.4,27.8,0.0,71.5
20191005,18.7,21.9,0.6,72.6
20191006,18.1,22.7,0.0,53.4
20191007,14.8,17.9,25.4,92.0
20191008,14.7,19.8,0.0,58.8
20191009,13.6,20.4,0.0,48.3
20191010,15.2,19.8,0.0,60.9
20191011,18.8,26.1,0.0,60.0
20191012,17.9,23.3,0.0,49.3
20191013,17.2,23.8,0.0,52.6
20191014,14.4,19.6,0.0,56.9
20191015,14.5,20.4,0.0,55.6
20191016,14.6,20.8,0.0,58.3
20191017,15.4,21.6,0.0,56.0
20191018,17.0,22.7,0.0,58.3
20191019,17.0,23.1,0.0,63.8
20191020,16.5,22.9,0.0,70.3
20191021,17.1,24.6,0.0,61.0
20191022,18.1,24.4,0.0,56.1
20191023,17.0,20.7,0.0,57.3
20191024,18.3,23.8,0.0,47.6
20191025,16.7,22.0,0.0,58.0
20191026,10.0,14.9,0.0,60.0
20191027,11.0,17.4,0.0,59.0
20191028,12.9,17.7,1.7,65.9
20191029,12.5,17.6,0.1,61.0
20191030,11.2,17.7,0.0,60.3
20191031,14.8,19.7,0.0,73.8
