기준일자,평균기온,최고기온,강수량,평균습도
20200530,22.6,30.0,0.0,57.3
20200531,21.2,28.0,1.0,63.0
20200601,19.7,24.5,0.4,64.3
20200602,17.9,21.8,2.0,71.0
20200603,22.0,28.4,0.0,73.3
20200604,21.9,26.5,0.2,81.1
20200605,23.0,28.7,0.0,69.4
20200606,24.6,30.9,0.0,63.6
20200607,22.7,29.2,0.0,69.4
20200608,25.0,32.0,0.0,63.6
20200609,26.7,32.8,0.0,51.6
20200610,25.8,32.1,6.2,63.8
20200611,26.1,31.6,0.0,68.3
20200612,24.7,27.6,0.0,68.6
20200613,26.9,33.5,0.0,52.8
20200614,24.0,28.8,1.1,70.6
20200615,23.0,28.6,0.0,62.3
20200616,24.4,30.7,0.0,63.0
20200617,24.3,30.3,0.0,58.6
20200618,23.4,27.3,0.0,61.4
20200619,24.7,30.0,0.1,61.4
20200620,24.9,29.7,0.0,62.6
20200621,26.1,32.7,0.0,59.5
20200622,28.6,35.4,0.0,50.5
20200623,27.3,31.0,0.0,53.5
20200624,22.3,26.3,37.6,83.5
20200625,21.6,23.4,13.3,91.0
20200626,21.8,25.7,2.1,82.1
20200627,24.1,29.6,0.0,70.4
20200628,25.2,30.1,0.0,70.5
20200629,23.8,26.5,11.9,77.0
20200630,20.1,23.1,64.7,83.0
20200701,21.1,24.3,0.0,79.3
20200702,24.2,29.8,0.0,74.5
20200703,25.5,30.6,0.1,63.5
20200704,24.2,29.5,1.6,63.9
20200705,23.8,27.6,0.0,68.6
20200706,25.6,30.9,0.0,66.6
20200707,24.1,28.1,0.0,75.5
20200708,25.5,30.4,0.0,71.9
20200709,27.5,32.9,0.0,64.6
20200710,24.5,27.7,2.2,75.0
20200711,25.8,30.2,0.0,62.6
20200712,23.5,26.0,2.9,71.9
20200713,18.7,21.7,47.6,94.8
20200714,20.3,24.3,11.5,79.4
20200715,23.4,28.7,0.0,63.1
20200716,25.0,29.7,0.0,70.9
20200717,26.0,31.6,0.0,72.0
20200718,26.1,31.0,0.0,71.6
20200719,24.0,26.6,29.1,81.6
20200720,23.8,26.6,3.6,86.3
20200721,25.0,30.5,0.0,77.0
20200722,23.7,25.7,11.5,89.3
20200723,21.1,22.6,103.1,95.5
20200724,22.5,26.8,2.9,74.3
20200725,24.3,29.0,0.0,69.3
20200726,25.4,29.6,0.0,69.3
20200727,24.3,25.5,2.2,86.4
20200728,24.4,26.4,0.4,84.8
20200729,23.7,24.9,50.1,95.8
20200730,25.3,28.4,0.1,85.5
20200731,26.2,29.6,1.5,81.9
20200801,25.3,26.9,39.1,90.9
20200802,24.9,26.4,31.4,96.3
20200803,25.0,26.3,102.6,96.3
20200804,27.0,29.4,3.9,89.3
20200805,26.5,29.1,18.5,92.1
20200806,24.1,26.0,75.7,92.8
20200807,24.3,26.1,0.0,85.3
20200808,24.2,26.1,19.1,89.5
20200809,24.9,25.8,50.3,95.4
20200810,26.5,29.5,44.6,91.6
20200811,24.6,27.3,97.0,92.5
20200812,27.2,31.3,0.0,83.9
20200813,28.0,30.3,0.0,82.4
20200814,27.1,28.0,0.4,86.1
20200815,26.1,27.0,69.0,96.0
20200816,27.4,30.8,0.0,82.6
20200817,28.2,32.2,0.0,77.9
20200818,27.5,31.9,0.0,76.3
20200819,27.1,31.4,0.0,76.8
20200820,27.7,31.7,0.0,76.0
20200821,26.6,29.2,2.5,83.1
20200822,24.3,27.6,42.6,87.4
20200823,25.3,29.9,0.0,78.4
20200824,27.8,32.0,0.0,71.6
20200825,29.9,34.5,0.0,69.5
20200826,30.2,34.5,0.6,68.3
20200827,27.1,28.6,8.7,84.6
20200828,27.3,29.7,13.6,89.1
20200829,26.8,29.0,13.6,90.1
20200830,26.8,30.6,42.5,88.8
20200831,26.4,30.0,0.0,77.9
20200901,26.6,29.5,0.0,72.4
20200902,24.3,26.4,33.3,91.3
20200903,22.7,25.6,29.8,82.0
20200904,23.3,27.5,0.0,63.9
20200905,23.3,27.3,0.0,66.6
20200906,21.7,24.4,6.4,80.0
20200907,19.2,20.6,61.0,93.5
20200908,23.4,26.5,0.0,71.5
20200909,21.1,25.3,1.3,83.4
20200910,22.8,27.0,3.9,75.8
20200911,22.4,27.1,1.2,72.6
20200912,20.2,23.2,5.7,83.8
20200913,21.5,26.6,0.0,70.4
20200914,21.3,24.9,0.0,79.3
20200915,23.0,27.7,0.0,76.4
20200916,22.5,24.9,0.3,79.9
20200917,21.3,23.6,0.0,70.3
20200918,21.5,25.8,0.0,62.0
20200919,21.2,26.2,0.3,59.3
20200920,19.7,24.9,0.0,57.6
20200921,19.1,25.3,0.0,56.1
20200922,20.2,25.6,0.0,55.3
20200923,19.2,23.8,0.0,59.9
20200924,20.6,25.4,0.0,59.6
20200925,20.1,25.4,0.0,64.1
20200926,19.3,24.8,0.0,62.5
20200927,20.4,25.8,0.0,63.3
20200928,20.7,26.5,0.0,66.0
20200929,19.6,23.9,0.0,67.6
20200930,19.6,25.7,38.3,78.0
20201001,18.8,23.6,0.0,74.9
20201002,19.2,21.9,0.0,79.6
20201003,19.9,23.2,0.0,72.5
20201004,16.6,21.8,0.0,65.1
20201005,13.3,18.4,0.0,57.3
20201006,14.2,19.7,0.0,55.9
20201007,16.0,22.0,0.0,48.9
20201008,17.2,23.1,0.0,53.0
20201009,17.2,23.3,0.0,53.4
20201010,16.9,21.5,0.0,60.1
20201011,16.9,20.8,0.0,68.5
20201012,16.2,21.3,0.0,68.6
20201013,13.6,18.4,0.0,52.3
20201014,12.8,18.0,0.0,47.0
20201015,11.7,18.5,0.0,41.8
20201016,11.8,15.4,0.0,64.3
20201017,13.1,18.6,0.0,64.3
20201018,13.6,20.2,0.0,65.5
20201019,15.1,21.3,0.0,74.4
20201020,15.2,21.7,0.0,67.1
20201021,14.1,17.3,0.0,69.4
20201022,13.5,18.2,0.0,66.0
20201023,8.6,13.3,0.0,51.5
20201024,8.7,14.0,0.0,47.6
20201025,11.8,18.2,0.0,62.5
20201026,12.9,19.0,0.0,71.6
20201027,14.0,19.4,0.0,74.1
20201028,13.8,18.2,0.0,52.1
20201029,10.8,16.1,0.0,40.3
20201030,11.9,19.6,0.0,42.9
20201031,13.6,18.2,0.0,60.3
