기준일자,평균기온,최고기온,강수량,평균습도
20200301,5.8,10.1,0.2,71.8
20200302,3.4,7.6,0.0,55.3
20200303,4.8,10.5,0.0,57.0
20200304,2.2,4.6,0.0,53.4
20200305,1.4,6.3,0.0,47.5
20200306,3.7,10.1,0.0,46.8
20200307,7.0,14.2,0.0,39.5
20200308,9.3,16.9,0.0,43.8
20200309,11.1,17.6,0.0,37.6
20200310,6.4,10.8,11.8,78.4
20200311,3.8,8.3,0.0,41.8
20200312,6.8,13.3,0.0,49.8
20200313,4.9,8.7,0.5,41.0
20200314,3.6,8.6,0.0,48.1
20200315,4.0,8.5,0.0,48.3
20200316,3.6,9.1,0.0,42.4
20200317,6.6,12.3,0.0,65.8
20200318,10.0,17.0,0.0,45.8
20200319,9.1,12.1,0.0,49.0
20200320,8.8,14.0,0.0,39.6
20200321,12.8,19.5,0.0,56.5
20200322,11.0,16.5,0.0,37.5
20200323,10.6,17.0,0.0,37.9
20200324,11.4,17.9,0.0,35.0
20200325,12.5,19.2,0.0,33.6
20200326,14.8,20.6,1.8,53.8
20200327,11.9,15.8,2.0,56.4
20200328,7.7,12.8,0.0,17.9
20200329,8.7,16.1,0.0,30.6
20200330,10.2,16.9,0.0,38.4
20200331,11.9,18.6,0.0,34.5
20200401,11.3,17.4,0.0,35.6
20200402,9.3,15.5,0.0,41.4
20200403,10.0,16.3,0.0,53.8
20200404,8.9,13.3,0.0,36.4
20200405,7.2,13.7,0.0,29.5
20200406,9.3,16.1,0.0,38.3
20200407,10.6,16.8,0.0,56.6
20200408,9.4,14.2,0.0,25.5
20200409,8.9,14.7,0.0,44.6
20200410,10.7,16.8,0.0,52.6
20200411,9.9,16.0,0.0,63.8
20200412,9.9,15.6,0.0,58.6
20200413,12.4,20.4,0.0,39.4
20200414,13.0,19.6,0.0,46.8
20200415,13.2,20.2,0.0,39.8
20200416,16.0,23.8,0.0,39.9
20200417,12.5,15.4,6.5,77.8
20200418,13.5,19.6,0.0,67.9
20200419,12.3,15.5,10.3,75.8
20200420,10.0,13.1,0.1,73.0
20200421,7.4,10.4,0.0,49.0
20200422,6.0,8.3,0.0,46.8
20200423,7.9,12.8,0.0,47.8
20200424,9.9,14.3,0.0,55.6
20200425,13.1,17.1,0.0,54.4
20200426,12.3,19.0,0.0,43.1
20200427,12.9,18.3,0.0,49.8
20200428,13.9,19.9,0.0,50.0
20200429,14.9,21.0,0.0,48.6
20200430,17.1,23.4,0.0,57.1
20200501,20.2,26.2,0.0,73.6
20200502,20.3,23.9,0.0,79.6
20200503,21.8,27.4,0.0,68.8
20200504,20.2,25.3,0.0,63.9
20200505,16.0,19.3,0.0,67.9
20200506,19.4,27.6,0.0,50.0
20200507,20.7,26.5,0.0,32.5
20200508,19.9,27.3,2.3,32.8
20200509,14.2,16.8,24.4,94.4
20200510,14.4,16.6,1.3,88.6
20200511,16.5,22.0,3.4,61.0
20200512,14.3,18.9,0.7,69.4
20200513,16.1,21.8,0.0,47.3
20200514,19.3,25.4,0.0,35.4
20200515,16.1,20.2,12.0,81.4
20200516,16.7,20.3,2.5,90.3
20200517,19.1,24.9,0.0,80.1
20200518,19.1,26.8,29.8,79.4
20200519,13.0,17.1,19.0,73.6
20200520,14.4,20.1,0.0,60.4
20200521,17.4,22.9,0.0,56.1
20200522,18.5,22.7,0.0,68.5
20200523,20.1,25.0,0.0,66.1
20200524,17.1,20.2,14.5,84.8
20200525,16.6,21.3,0.0,81.0
20200526,16.2,22.9,1.5,81.9
20200527,17.4,23.9,0.0,68.5
20200528,18.7,23.4,0.0,62.8
20200529,20.7,27.6,0.0,65.6
