magnitude,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,is_ocean,is_steep_slope
7.0,0,2.821,15.0,80.0,5.0074,127.517,2021,1,1,True,True
6.7,0,2.043,22.0,10.0,51.2407,100.443,2021,1,0,False,False
6.7,0,1.319,19.0,10.0,-39.3264,-74.9067,2020,12,1,True,True
7.0,0,1.518,18.0,21.0,37.8973,26.7953,2020,10,0,True,False
7.6,0,0.23,36.0,28.37,54.662,-159.675,2020,10,1,True,True
6.9,0,11.255,16.0,10.0,0.9604,-26.8332,2020,9,1,True,False
6.5,0,0.388,49.0,16.0,-27.9285,-71.3937,2020,9,0,True,True
6.8,0,0.312,69.0,21.0,-28.013,-71.1958,2020,9,1,True,True
6.5,0,15.394,31.0,10.0,0.8696,-29.7046,2020,8,0,True,False
6.9,0,2.267,20.0,624.0,-6.6704,123.493,2020,8,0,True,False
6.9,0,1.716,25.0,26.0,-4.2791,101.215,2020,8,0,True,True
6.8,0,1.816,34.0,22.0,-4.3724,101.095,2020,8,0,True,True
6.6,0,5.128,14.0,10.0,12.0065,124.13,2020,8,1,True,False
7.8,0,0.621,60.0,28.0,55.1079,-158.477,2020,7,1,True,False
7.0,0,1.671,18.0,73.0,-7.847,147.755,2020,7,1,True,True
6.6,0,1.458,14.0,533.76,-5.6368,110.678,2020,7,0,True,False
7.4,0,0.151,30.0,20.0,15.9163,-95.9533,2020,6,1,False,True
7.4,0,4.035,23.0,10.0,-33.2938,-177.838,2020,6,1,True,True
6.6,0,2.015,18.0,165.0,28.9386,128.262,2020,6,1,True,False
6.8,0,1.164,21.0,112.0,-23.2966,-68.4204,2020,6,1,False,False
6.5,27,0.357,55.79,2.7,38.1689,-117.85,2020,5,0,False,False
6.6,0,3.403,12.0,107.0,-12.0662,166.648,2020,5,1,True,True
6.8,0,1.921,16.0,96.0,-6.7762,129.785,2020,5,0,True,False
6.5,0,1.293,19.0,10.0,34.1818,25.7101,2020,5,0,True,True
6.5,0,0.885,31.0,12.06,44.4646,-115.118,2020,3,0,False,False
7.5,0,4.109,12.0,57.8,48.9638,157.695,2020,3,1,True,True
7.0,0,4.501,25.0,143.0,45.6161,148.959,2020,2,1,True,False
7.7,0,1.657,26.0,14.86,19.4193,-78.756,2020,1,1,True,True
6.7,0,0.87,49.0,10.0,38.4312,39.0609,2020,1,0,False,False
6.8,0,0.546,39.0,18.0,6.6969,125.174,2019,12,1,False,False
7.1,0,1.271,11.0,33.0,1.6213,126.416,2019,11,1,True,False
6.5,0,4.765,25.0,577.0,-21.9449,-179.511,2019,11,0,True,False
6.6,0,5.086,48.0,10.0,-18.5747,-175.272,2019,11,1,True,False
6.5,0,0.428,19.0,10.0,6.9098,125.178,2019,10,1,False,False
6.6,0,0.646,24.0,15.0,6.7567,125.008,2019,10,1,False,False
6.7,0,1.269,98.0,11.0,-35.4758,-73.163,2019,9,1,True,True
6.5,0,3.909,15.0,12.26,-3.4528,128.37,2019,9,1,True,True
6.6,0,4.121,19.0,591.0,-20.3641,-178.57,2019,9,1,True,False
6.6,0,12.896,19.0,16.0,-60.2152,-26.5801,2019,8,1,True,False
6.9,0,2.839,23.0,49.0,-7.2822,104.791,2019,8,0,True,False
6.8,0,0.817,35.0,25.0,-34.2364,-72.3102,2019,8,1,True,True
6.6,0,6.024,30.0,181.0,-16.1985,167.998,2019,7,1,False,True
7.2,0,1.504,38.0,18.98,-0.5858,128.034,2019,7,1,False,False
6.6,0,2.978,32.0,10.0,-18.2242,120.358,2019,7,0,True,False
6.9,0,1.205,21.0,35.0,0.5126,126.189,2019,7,0,True,False
7.1,77,0.04616,43.0,8.0,35.7695,-117.599,2019,7,0,False,False
7.3,0,2.629,16.0,212.0,-6.4078,129.169,2019,6,1,True,True
7.3,0,1.402,11.0,46.0,-30.6441,-178.1,2019,6,1,True,False
6.6,0,1.193,22.0,57.92,13.1994,-89.3056,2019,5,1,True,False
8.0,0,3.18,17.0,122.57,-5.8119,-75.2697,2019,5,1,False,False
7.6,0,0.453,16.0,10.0,-4.051,152.597,2019,5,1,True,True
7.1,0,2.514,16.0,146.0,-6.9746,146.449,2019,5,1,False,False
6.8,0,0.791,28.0,15.46,-1.8146,122.58,2019,4,1,True,False
6.5,0,7.568,18.0,38.0,-58.6262,-25.304,2019,4,1,True,True
7.0,0,2.501,42.0,267.0,-14.7131,-70.1546,2019,3,1,False,False
7.5,0,2.045,15.0,145.0,-2.1862,-77.0505,2019,2,1,False,False
6.7,0,0.289,43.0,66.0,14.6802,-92.4527,2019,2,1,True,False
6.7,0,7.527,17.0,13.0,-43.1219,42.3568,2019,1,0,True,False
6.7,0,0.173,22.0,63.0,-30.0404,-71.3815,2019,1,1,False,True
6.6,0,7.818,18.0,35.0,-13.336,166.875,2019,1,1,True,True
6.6,0,1.596,33.0,43.21,2.258,126.758,2019,1,1,True,False
6.8,0,1.181,16.0,570.41,-8.144,-71.587,2019,1,0,False,False
7.0,0,1.769,21.0,60.21,5.8983,126.921,2018,12,1,True,True
7.3,0,4.126,23.0,16.56,55.0999,164.699,2018,12,1,True,True
7.1,0,7.043,20.0,133.0,-58.5446,-26.3856,2018,12,1,True,True
6.6,0,2.679,31.0,10.0,-22.0629,169.733,2018,12,1,True,True
7.5,0,2.405,18.0,10.0,-21.9496,169.427,2018,12,1,True,True
7.1,0,0.0,0.0,46.7,61.3464,-149.955,2018,11,1,False,False
6.8,0,2.879,39.0,540.0,-17.8735,-178.927,2018,11,1,True,False
6.7,0,7.853,19.0,10.0,71.6312,-11.2431,2018,11,1,True,False
6.8,0,2.268,15.0,14.0,37.5203,20.5565,2018,10,0,True,True
6.5,0,1.692,68.0,10.0,49.297,-129.724,2018,10,0,True,False
6.8,0,1.505,36.0,10.0,49.3346,-129.289,2018,10,1,True,False
6.5,0,1.611,63.0,10.0,49.2586,-129.412,2018,10,1,True,False
6.5,0,2.109,22.0,17.0,-21.7427,169.522,2018,10,1,True,True
6.7,0,2.705,17.0,461.0,52.8549,153.243,2018,10,1,True,False
6.5,0,3.923,14.0,20.0,49.2902,156.297,2018,10,1,True,True
7.0,0,1.778,18.0,39.0,-5.7012,151.205,2018,10,1,False,True
6.7,0,3.745,23.0,550.0,-18.3604,-178.063,2018,9,1,True,False
7.5,0,1.649,13.0,20.0,-0.2559,119.846,2018,9,0,False,False
6.5,0,5.139,18.0,576.0,-25.415,178.199,2018,9,0,True,False
6.9,0,2.785,18.0,115.0,-31.7447,-179.373,2018,9,0,True,False
6.5,0,1.638,25.0,68.0,-10.0207,161.503,2018,9,1,True,False
7.9,0,1.431,12.0,670.81,-18.4743,179.35,2018,9,1,True,True
6.6,0,1.13,32.0,35.0,42.6861,141.929,2018,9,1,False,False
7.1,0,2.548,23.0,21.43,-22.0295,170.126,2018,8,1,True,True
7.1,0,3.77,12.0,630.0,-11.0355,-70.8284,2018,8,0,False,False
6.5,0,4.797,10.0,9.0,-16.0315,168.143,2018,8,1,True,False
7.3,0,1.822,15.0,146.82,10.7731,-62.9019,2018,8,1,True,False
6.9,0,2.453,31.0,21.0,-8.319,116.627,2018,8,0,False,False
8.2,0,3.63,13.0,600.0,-18.1125,-178.153,2018,8,1,True,False
6.5,0,2.719,23.0,529.0,-7.3718,119.802,2018,8,0,True,True
6.5,0,0.576,22.0,33.93,51.4234,-178.026,2018,8,1,True,True
