magnitude,dmin,gap,depth,latitude,longitude,tsunami,is_ocean,is_steep_slope
6.6,0.0,14.6,91.1,2.19,126.837,0,1,0
7.7,0.0,13.8,583.2,49.8,145.064,0,1,0
6.5,0.0,11.7,41.0,-4.651,153.173,0,1,0
6.6,0.0,15.7,134.7,-18.685,-174.705,0,1,0
6.7,0.0,15.4,16.0,-1.617,134.276,0,1,0
6.8,0.0,12.6,198.0,-5.462,147.117,0,1,0
6.7,0.0,26.9,29.0,-32.625,-71.365,0,0,1
7.0,0.0,95.9,13.0,28.696,-113.104,0,1,0
6.5,0.0,54.1,20.0,18.229,-102.689,0,0,1
8.2,0.0,14.9,25.1,0.802,92.463,0,1,0
8.6,0.0,16.6,20.0,2.327,93.063,0,1,0
7.1,0.0,15.2,40.7,-35.2,-72.217,0,0,0
6.6,0.0,10.1,118.0,-6.242,145.955,0,0,0
7.4,0.0,37.9,20.0,16.493,-98.231,0,0,0
6.7,0.0,13.4,12.0,51.708,95.991,0,0,0
6.7,0.0,11.1,11.0,9.999,123.206,0,0,0
7.1,0.0,12.0,23.0,-17.827,167.133,0,1,0
7.2,0.0,17.0,19.0,2.433,93.21,0,1,0
6.6,0.0,17.6,15.0,51.842,95.911,0,0,0
7.1,0.0,10.6,135.0,-7.551,146.809,0,0,1
6.5,0.0,38.6,59.0,17.986,-99.789,0,0,0
6.9,0.0,46.5,24.0,-14.438,-75.966,0,0,0
7.1,0.0,19.7,18.0,38.721,43.508,0,0,0
6.5,0.0,12.6,37.0,-6.57,147.881,0,1,1
6.9,0.0,13.0,50.0,27.73,88.155,0,0,1
6.7,0.0,10.9,30.0,40.273,142.779,0,1,0
6.7,0.0,15.3,91.0,2.965,97.893,0,0,0
7.0,0.0,15.3,185.1,-20.671,169.716,0,1,0
7.0,0.0,26.9,147.0,-7.641,-74.525,0,0,0
7.1,0.0,12.3,28.0,-18.311,168.218,0,1,1
6.5,0.0,15.0,35.0,-18.308,168.156,0,1,1
7.2,0.0,18.4,32.0,-18.365,168.143,0,1,1
6.6,0.0,16.6,10.0,-3.518,144.828,0,1,0
7.6,0.0,33.5,17.0,-29.539,-176.34,0,1,1
6.7,0.0,24.9,33.0,39.955,142.205,0,1,0
6.8,0.0,12.5,11.0,-20.244,168.226,0,1,0
6.8,0.0,13.0,79.0,-10.375,161.2,0,1,1
6.6,0.0,10.1,11.0,37.001,140.401,0,0,0
7.1,0.0,17.7,42.0,38.276,141.588,0,0,0
6.6,0.0,37.2,166.2,17.208,-94.338,0,0,0
6.9,0.0,18.2,8.0,20.687,99.822,0,0,0
6.6,0.0,9.5,25.7,39.241,142.463,0,1,0
6.5,0.0,18.7,6.8,36.166,141.562,0,1,1
7.7,0.0,10.8,18.6,38.058,144.59,0,1,0
7.9,0.0,48.4,42.6,36.281,141.111,0,1,0
9.1,0.0,9.5,29.0,38.297,142.373,0,1,0
7.3,0.0,17.4,32.0,38.435,142.842,0,1,0
6.7,0.0,33.9,21.0,-35.38,-72.834,0,1,1
6.9,0.0,34.7,26.0,-36.422,-72.96,0,1,0
7.2,0.0,25.3,68.0,28.777,63.951,0,0,0
7.0,0.0,13.3,9.0,-20.628,168.471,0,1,1
7.2,0.0,30.1,24.0,-38.355,-73.326,0,0,0
7.3,0.0,12.0,16.0,-19.702,167.947,0,1,0
6.7,0.0,24.3,12.0,28.412,59.18,0,0,0
6.6,0.0,18.5,33.0,-6.001,149.977,0,0,1
7.8,0.0,23.0,20.1,-3.487,100.082,0,1,1
6.7,0.0,50.3,13.0,24.696,-109.156,0,1,1
7.0,0.0,15.1,26.0,-4.963,133.76,0,1,0
7.0,0.0,15.8,12.0,-43.522,171.83,0,0,0
7.1,0.0,12.4,206.7,-1.266,-77.306,0,0,0
7.3,0.0,20.2,25.0,-17.541,168.069,0,1,1
7.0,0.0,12.7,44.0,-5.746,150.765,0,0,1
6.5,0.0,11.1,220.0,-5.486,146.822,0,1,1
7.6,0.0,15.1,578.0,6.497,123.48,0,1,1
7.3,0.0,18.2,35.0,-5.931,150.59,0,0,1
6.9,0.0,15.7,28.0,-5.966,150.428,0,0,1
6.6,0.0,52.8,22.0,-38.067,-73.31,0,0,0
6.7,0.0,18.7,35.0,-10.627,161.447,0,1,1
6.6,0.0,25.0,10.5,-2.329,136.484,0,0,0
7.0,0.0,18.1,18.0,-2.174,136.543,0,1,0
7.5,0.0,18.6,35.0,7.881,91.936,0,1,1
7.2,0.0,11.7,31.0,-13.698,166.643,0,1,1
7.2,0.0,20.6,38.0,3.748,96.018,0,1,0
6.9,0.0,14.9,17.0,33.165,96.548,0,0,0
6.9,0.0,12.1,21.0,-10.878,161.116,0,1,1
7.8,0.0,19.2,31.0,2.383,97.048,0,1,0
7.2,0.5137,239.0,9.987,32.2862,-115.295,0,0,0
6.6,0.0,16.7,34.0,13.667,92.831,0,1,0
6.7,0.0,34.7,18.0,-36.217,-73.257,0,1,1
6.5,0.0,27.0,32.0,37.745,141.59,0,1,0
7.0,0.0,17.1,18.0,-34.326,-71.799,0,0,0
6.9,0.0,12.5,11.0,-34.29,-71.891,0,0,0
6.8,0.0,23.2,26.0,-3.762,100.991,0,1,0
6.6,0.0,27.8,18.0,-36.665,-73.374,0,1,1
6.5,0.0,18.7,176.0,-13.571,167.227,0,1,0
7.4,0.0,17.6,35.0,-37.773,-75.048,0,1,0
8.8,0.0,17.8,22.9,-36.122,-72.898,0,1,0
7.0,0.0,15.7,25.0,25.93,128.425,0,1,1
7.0,0.0,22.7,13.0,18.443,-72.571,0,0,1
6.5,0.3225,220.0,28.737,40.652,-124.692,0,1,0
6.8,0.0,15.0,15.4,-9.019,157.551,0,1,1
7.1,0.0,15.0,10.0,-8.783,157.354,0,1,1
6.6,0.0,16.6,10.0,-8.726,157.487,0,0,1
6.5,0.0,17.7,27.0,-19.394,-70.321,0,1,0
7.3,0.0,15.0,595.0,-17.239,178.331,0,1,0
6.6,0.0,20.4,18.0,-8.207,118.631,0,1,1
6.8,0.0,21.4,34.0,29.218,129.782,0,1,0
6.9,0.0,11.0,130.0,-6.133,130.385,0,1,1
6.8,0.0,30.2,35.0,-13.298,165.91,0,1,1
7.4,0.0,20.2,31.1,-13.093,166.497,0,1,1
7.8,0.0,20.3,35.0,-12.517,166.382,0,1,1
7.7,0.0,23.2,45.0,-13.006,166.51,0,1,1
6.6,0.0,30.1,9.0,-2.482,101.524,0,0,0
7.6,0.0,14.0,81.0,-0.72,99.867,0,1,0
8.1,0.0,20.8,18.0,-15.489,-172.095,0,1,1
7.0,0.0,16.3,46.0,-7.782,107.297,0,1,1
6.7,0.0,14.9,20.0,-1.479,99.49,0,1,0
6.6,0.0,14.1,53.0,32.821,140.395,0,1,0
7.5,0.0,18.2,24.0,14.099,92.902,0,1,0
7.1,0.0,14.2,292.0,33.167,137.944,0,1,0
6.9,0.0,35.0,10.0,29.039,-112.903,0,1,0
7.8,0.0,16.8,12.0,-45.762,166.562,0,0,1
6.7,0.0,13.8,64.0,-5.157,153.782,0,1,0
7.3,0.0,27.2,19.0,16.731,-86.217,0,1,1
7.6,0.0,14.0,31.0,-23.043,-174.66,0,1,1
7.2,0.0,18.6,20.0,3.886,126.387,0,1,1
7.4,0.0,21.1,23.0,-0.691,133.305,0,0,1
6.6,0.0,22.6,204.8,36.419,70.743,0,0,0
7.7,0.0,29.8,17.0,-0.414,132.885,0,1,1
7.4,0.0,33.7,30.0,1.271,122.091,0,1,0
6.7,0.0,28.6,24.0,14.423,-92.364,0,1,0
6.7,0.0,22.3,27.4,39.533,73.824,0,0,0
6.8,0.0,22.2,25.0,41.892,143.754,0,1,0
6.6,0.0,14.1,96.0,1.885,127.363,0,1,1
6.9,0.0,14.9,110.0,-13.501,166.967,0,1,0
6.7,0.0,28.0,12.0,30.901,83.52,0,0,0
6.8,0.0,20.2,108.0,39.802,141.464,0,0,0
7.0,0.0,18.2,22.0,37.552,142.214,0,1,0
6.9,0.0,0.0,25.5,37.55,142.714,0,1,1
6.6,0.0,18.4,17.0,11.005,91.824,0,1,1
6.9,0.0,17.1,7.8,39.03,140.881,0,0,0
7.9,0.0,11.3,19.0,31.002,103.322,0,0,1
6.9,0.0,21.1,27.0,36.164,141.526,0,1,0
7.3,0.0,13.4,33.0,-20.071,168.892,0,1,1
7.2,0.0,25.9,10.0,35.49,81.467,0,0,0
6.9,0.0,25.9,24.0,13.351,125.63,0,1,1
6.7,0.0,15.1,25.0,-2.245,99.808,0,1,0
6.6,0.0,17.7,25.0,-2.332,99.891,0,1,0
7.2,0.0,18.4,25.0,-2.486,99.972,0,1,0
6.5,0.0,28.3,22.0,-2.405,99.931,0,1,0
7.4,0.0,16.4,26.0,2.768,95.964,0,0,0
6.5,0.0,30.7,28.0,36.345,21.863,0,1,1
6.9,0.0,30.6,29.0,36.501,21.67,0,1,1
6.5,0.0,27.6,83.0,16.357,-94.304,0,0,0
6.6,0.0,18.8,20.0,-39.011,178.291,0,1,1
6.7,0.0,30.3,45.0,-22.954,-70.182,0,0,1
7.4,0.0,13.4,156.0,14.944,-61.274,0,1,1
6.6,0.0,26.9,16.0,-10.95,162.149,0,1,1
6.5,0.0,27.6,18.0,-8.224,118.467,0,1,1
6.5,0.0,27.5,20.0,-8.292,118.37,0,1,0
6.8,0.0,15.9,53.0,-5.757,147.098,0,1,1
6.8,0.0,27.0,122.9,-2.312,-77.838,0,0,0
6.8,0.0,40.1,26.0,-22.925,-70.237,0,0,1
7.7,0.0,22.4,40.0,-22.247,-69.89,0,0,1
6.8,0.0,23.9,21.0,-3.899,101.02,0,1,0
6.8,0.0,19.0,18.0,-44.796,167.553,0,0,1
6.8,0.0,15.5,40.0,-4.99,153.5,0,1,1
6.7,0.0,26.9,30.0,-1.999,100.141,0,1,0
7.0,0.0,23.1,22.0,-2.13,99.627,0,0,1
6.5,0.0,26.2,28.9,-1.689,99.668,0,1,0
7.9,0.0,29.1,35.0,-2.625,100.841,0,1,0
7.8,0.0,0.0,40.5,-2.52,100.139,0,1,0
8.4,0.0,32.3,34.0,-4.438,101.367,0,1,1
6.8,0.0,17.6,15.0,2.966,-77.963,0,1,0
7.2,0.0,21.3,35.0,-11.61,165.762,0,1,1
6.5,0.0,12.8,15.0,-9.834,159.465,0,1,1
8.0,0.0,25.7,39.0,-13.386,-76.603,0,1,0
7.5,0.0,30.7,280.0,-5.859,107.419,0,1,0
7.2,0.0,20.4,120.0,-15.595,167.68,0,1,1
6.9,0.0,24.1,25.0,2.872,127.464,0,1,0
6.8,0.0,18.2,350.4,36.808,134.85,0,1,0
6.6,0.0,16.7,12.0,37.535,138.446,0,1,0
6.7,0.0,37.7,23.0,13.554,-90.618,0,1,0
6.9,0.0,15.3,10.0,-7.306,155.741,0,1,1
6.6,0.0,16.0,10.0,-7.169,155.777,0,1,1
8.1,0.0,14.7,24.0,-8.466,157.043,0,1,1
6.7,0.0,23.9,8.0,37.336,136.588,0,1,0
7.1,0.0,25.3,34.0,-20.617,169.357,0,1,1
6.7,0.0,40.3,12.0,-1.034,126.976,0,1,1
7.5,0.0,21.6,22.0,1.065,126.282,0,1,0
8.1,0.0,14.0,10.0,46.243,154.524,0,1,0
6.9,0.0,31.6,10.0,21.974,120.493,0,1,0
7.1,0.0,29.1,10.0,21.799,120.547,0,1,0
8.3,0.0,20.9,10.0,46.592,153.266,0,1,1
6.6,0.0,18.6,11.0,-6.482,151.195,0,1,1
6.7,0.0,53.4,23.0,-13.457,-76.677,0,1,0
6.7,0.0,15.6,32.0,-5.881,150.982,0,0,1
6.7,0.0,124.0,38.182,19.877,-155.935,0,1,1
6.9,0.0,20.9,28.0,-16.592,-172.033,0,1,1
6.8,0.0,28.4,38.0,-6.759,155.512,0,0,0
6.5,0.0,47.4,43.0,51.148,157.522,0,1,0
6.8,0.0,26.2,150.0,-15.798,167.789,0,1,1
7.7,0.0,36.8,20.0,-9.284,107.419,0,1,1
6.5,0.0,20.3,34.0,-5.724,151.133,0,0,1
6.6,0.0,28.0,19.0,60.772,165.743,0,0,0
6.8,0.0,16.3,12.0,0.093,97.05,0,1,1
8.0,0.0,20.7,55.0,-20.187,-174.123,0,1,1
8.0,0.0,0.0,60.5,-19.99,-173.907,0,1,1
6.5,0.0,46.3,12.0,-27.211,-71.056,0,1,1
6.7,0.0,25.6,12.0,-27.017,-71.022,0,1,1
6.6,0.0,28.4,11.0,60.491,167.516,0,0,0
7.6,0.0,18.5,22.0,60.949,167.089,0,0,0
6.5,0.0,25.5,14.0,-16.527,176.989,0,1,1
6.7,0.0,21.3,30.1,-3.595,127.214,0,0,1
7.0,0.0,23.2,11.0,-21.324,33.583,0,0,0
6.7,0.0,19.7,66.0,36.311,23.212,0,1,0
6.6,0.0,48.2,14.0,28.164,-112.117,0,1,0
6.5,0.0,20.5,224.6,36.357,71.093,0,0,1
6.8,0.0,20.0,22.0,-6.224,29.83,0,0,0
6.5,0.0,48.8,29.0,38.089,142.122,0,1,0
6.5,0.0,20.7,21.0,2.164,96.786,0,1,0
6.8,0.0,30.1,147.0,-22.361,-67.895,0,0,1
7.6,0.0,21.1,26.0,34.539,73.588,0,0,1
6.6,0.0,17.7,25.0,-5.437,151.84,0,0,1
7.5,0.0,26.2,115.0,-5.678,-76.398,0,0,0
7.6,0.0,20.0,90.0,-4.539,153.474,0,1,1
7.2,0.0,19.6,36.0,38.276,142.039,0,1,0
7.2,0.0,26.4,16.0,7.92,92.19,0,1,0
6.7,0.0,22.3,21.0,1.819,97.082,0,1,0
6.6,0.0,21.1,27.0,11.245,-86.172,0,1,0
7.2,0.0,31.4,16.0,41.292,-125.953,0,1,0
7.8,0.0,16.1,115.6,-19.987,-69.197,0,0,0
6.9,0.0,26.0,30.0,1.989,97.041,0,1,0
6.7,0.0,20.9,34.0,0.587,98.459,0,1,0
6.5,0.0,21.2,30.0,-1.714,99.779,0,1,0
6.7,0.0,21.2,19.0,-1.644,99.607,0,1,0
8.6,0.0,22.1,30.0,2.085,97.108,0,0,0
6.6,0.0,22.9,10.0,33.807,130.131,0,1,0
7.1,0.0,18.1,201.7,-6.527,129.933,0,1,1
6.8,0.0,33.8,36.0,2.908,95.592,0,1,0
6.5,0.0,31.8,10.0,-5.562,122.129,0,1,0
6.5,0.0,47.3,39.7,4.756,126.421,0,1,1
6.7,0.0,30.2,206.3,-14.252,167.259,0,1,0
7.1,0.0,26.4,525.0,5.293,123.337,0,1,0
6.6,0.0,78.5,27.8,34.064,141.491,0,1,1
6.6,0.0,31.9,16.1,8.879,92.375,0,1,0
7.2,0.0,27.9,39.2,6.91,92.958,0,1,1
9.1,0.0,22.0,30.0,3.295,95.982,0,1,0
8.1,0.0,59.3,10.0,-49.312,161.345,0,1,0
6.8,0.0,21.8,10.0,18.958,-81.409,0,1,1
6.8,0.0,23.6,35.0,42.9,145.228,0,1,1
7.0,0.0,23.9,39.0,43.006,145.119,0,1,0
7.1,0.0,28.8,10.0,-3.609,135.404,0,0,0
7.1,0.0,14.7,10.0,-46.676,164.721,0,1,1
7.2,0.0,50.2,15.0,4.695,-77.508,0,1,1
7.5,0.0,33.8,10.0,-8.152,124.868,0,1,1
6.7,0.0,21.5,10.0,-11.128,162.208,0,1,1
6.7,0.0,37.3,10.0,49.277,-128.772,0,1,0
6.6,0.0,37.0,16.0,37.226,138.779,0,0,0
6.7,0.0,24.7,94.0,24.53,122.694,0,1,1
7.0,0.0,32.2,35.0,11.422,-86.665,0,1,0
6.5,0.0,18.3,105.0,13.925,120.534,0,1,0
6.8,0.0,15.7,36.0,-10.951,162.161,0,1,1
6.6,0.0,29.8,10.0,33.205,137.227,0,1,1
7.4,0.0,27.5,10.0,33.184,137.071,0,1,0
7.2,0.0,28.4,14.0,33.07,136.618,0,1,0
6.5,0.0,30.1,5.0,-35.173,-70.525,0,0,1
6.5,0.0,39.0,13.4,-0.443,133.091,0,1,1
6.9,0.0,31.2,188.6,55.682,160.003,0,0,0
6.6,0.0,46.9,21.0,-37.695,-73.406,0,0,0
6.7,0.0,27.6,65.8,-9.362,122.839,0,1,0
6.5,0.0,29.9,228.4,-13.174,167.198,0,1,0
6.6,0.0,18.3,187.1,36.512,71.029,0,0,0
6.7,0.0,33.3,25.7,-3.665,135.339,0,0,0
7.3,0.0,23.0,10.0,-4.003,135.023,0,0,0
7.0,0.0,33.0,16.6,-3.615,135.538,0,0,0
6.7,0.0,42.5,17.4,-3.12,127.4,0,1,1
7.3,0.0,46.6,10.0,-22.015,169.766,0,1,1
6.6,0.0,44.8,10.0,28.995,58.311,0,0,0
6.5,0.0,48.4,33.0,8.416,-82.824,0,0,0
6.5,0.04685,71.0,8.382,35.7005,-121.101,0,0,0
6.8,0.0,27.7,10.0,23.039,121.362,0,1,1
6.6,0.0,25.1,35.0,-5.581,150.88,0,0,0
6.5,0.0,45.9,35.0,12.025,125.416,0,0,1
6.6,0.0,26.2,113.7,-19.262,168.892,0,1,0
7.0,0.0,61.2,10.0,37.812,142.619,0,1,1
6.7,0.0,55.4,32.0,42.648,144.57,0,1,0
6.7,0.0,24.5,10.0,50.211,87.721,0,0,0
6.5,0.0,71.3,25.0,42.45,144.38,0,1,0
7.3,0.0,24.5,16.0,50.038,87.813,0,0,0
7.4,0.0,78.8,33.0,41.774,143.593,0,1,1
8.16,0.0,0.0,27.0,41.815,143.91,0,1,0
6.6,0.0,24.7,10.0,19.917,95.672,0,0,0
7.2,0.0,17.5,28.0,-45.104,167.144,0,0,1
7.6,0.0,25.2,10.0,-60.532,-43.411,0,1,1
6.5,0.0,31.4,33.0,-3.828,152.174,0,1,1
6.8,0.0,39.1,33.0,-30.608,-71.637,0,0,1
6.9,0.0,26.7,174.8,55.492,159.999,0,0,0
6.6,0.0,27.8,33.0,-5.095,152.502,0,1,1
7.0,0.0,30.3,31.0,2.354,128.855,0,1,1
7.0,0.0,19.1,68.0,38.849,141.568,0,0,0
6.8,0.0,19.4,12.0,36.964,3.634,0,1,0
6.5,0.0,28.7,33.0,-8.294,120.743,0,1,1
6.8,0.0,38.4,40.2,-4.694,153.238,0,1,1
7.6,0.0,0.0,24.0,18.77,-104.104,0,1,0
6.5,0.0,0.0,24.0,13.626,-90.774,0,1,0
7.3,0.0,0.0,33.0,-10.491,160.77,0,1,1
6.7,0.0,0.0,71.9,-5.311,153.701,0,1,1
6.7,0.0,0.0,34.0,-4.786,153.275,0,1,1
7.9,0.0,0.0,4.2,63.5141,-147.453,0,0,0
7.4,0.0,0.0,30.0,2.824,96.085,0,1,0
6.6,0.0,0.0,4.2,63.5144,-147.912,0,0,0
6.7,0.0,0.0,10.0,-1.511,133.973,0,0,0
7.6,0.0,0.0,10.0,-1.757,134.297,0,1,0
6.5,0.0,0.0,21.0,13.036,93.068,0,1,0
7.6,0.0,0.0,13.0,-3.302,142.945,0,1,0
6.5,0.0,0.0,30.0,14.101,146.199,0,1,0
6.5,0.0,0.0,10.0,7.929,-82.793,0,1,0
6.5,0.0,0.0,10.0,35.626,49.047,0,0,0
6.6,0.0,0.0,54.0,-30.805,-71.124,0,0,1
6.7,0.0,0.0,33.0,-12.592,166.383,0,1,1
7.1,0.0,0.0,85.7,13.088,144.619,0,1,1
6.7,0.0,0.0,62.0,-27.535,-70.586,0,0,0
6.8,0.0,0.0,24.9,16.985,-100.865,0,1,1
7.1,0.0,0.0,32.8,24.279,122.179,0,1,1
6.5,0.0,0.0,125.1,-21.663,-68.329,0,0,0
7.5,0.0,0.0,31.0,6.033,124.249,0,1,1
7.4,0.0,0.0,225.6,36.502,70.482,0,0,0
6.6,0.0,0.0,39.0,-5.345,151.248,0,0,1
6.5,0.0,0.0,5.0,38.573,31.271,0,0,0
6.7,0.0,0.0,11.0,-3.212,142.427,0,0,1
6.6,0.0,0.0,10.0,-17.664,168.004,0,1,1
7.2,0.0,0.0,21.0,-17.6,167.856,0,1,1
6.8,0.0,0.0,16.0,-9.613,159.53,0,1,1
6.8,0.0,0.0,14.0,23.954,122.734,0,1,1
6.5,0.0,0.0,123.8,39.402,141.089,0,0,0
7.8,0.0,0.0,10.0,35.946,90.541,0,0,0
7.0,0.0,0.0,33.0,-5.912,150.196,0,0,1
7.5,0.0,0.0,33.0,-4.102,123.907,0,1,1
7.0,0.0,0.0,37.0,12.686,144.98,0,1,1
6.5,0.0,0.0,33.0,-0.578,133.13,0,0,1
6.6,0.0,0.0,131.8,58.775,-154.701,0,0,0
6.5,0.0,0.0,10.0,39.059,24.244,0,1,0
7.6,0.0,0.0,33.0,-17.543,-72.077,0,1,0
6.6,0.0,0.0,62.0,-16.086,-73.987,0,1,1
6.7,0.0,0.0,24.0,-17.745,-71.649,0,1,1
8.4,0.0,0.0,33.0,-16.265,-73.641,0,1,1
6.7,0.0,0.0,17.0,-7.41,155.865,0,1,1
6.8,0.0,0.0,50.0,34.083,132.526,0,0,0
6.5,0.0,0.0,33.0,-4.029,128.02,0,1,0
6.8,0.0,31.0,51.798,47.149,-122.727,0,0,0
7.1,0.0,0.0,35.0,1.271,126.249,0,1,0
7.4,0.0,0.0,36.0,-4.68,102.562,0,1,0
6.6,0.0,0.0,10.0,13.671,-88.938,0,0,0
7.7,0.0,0.0,16.0,23.419,70.232,0,0,0
6.9,0.0,0.0,28.0,-4.022,101.776,0,1,0
7.7,0.0,0.0,60.0,13.049,-88.66,0,1,0
6.9,0.0,0.0,36.4,56.7744,-153.281,0,1,0
7.1,0.0,0.0,103.0,-14.928,167.17,0,1,1
6.8,0.0,0.0,33.0,6.631,126.899,0,1,1
7.5,0.0,0.0,33.0,6.898,126.579,0,1,1
