magnitude,dmin,gap,depth,latitude,longitude,tsunami,is_ocean,is_steep_slope
7.4,4.035,23.0,10.0,-33.2938,-177.838,1,1,1
6.6,2.015,18.0,165.0,28.9386,128.262,1,1,0
6.8,1.164,21.0,112.0,-23.2966,-68.4204,1,0,0
6.5,0.357,55.79,2.7,38.1689,-117.85,0,0,0
6.6,3.403,12.0,107.0,-12.0662,166.648,1,1,1
6.8,1.921,16.0,96.0,-6.7762,129.785,0,1,0
6.5,1.293,19.0,10.0,34.1818,25.7101,0,1,1
6.5,0.885,31.0,12.06,44.4646,-115.118,0,0,0
7.5,4.109,12.0,57.8,48.9638,157.695,1,1,1
7.0,4.501,25.0,143.0,45.6161,148.959,1,1,0
7.7,1.657,26.0,14.86,19.4193,-78.756,1,1,1
6.7,0.87,49.0,10.0,38.4312,39.0609,0,0,0
6.8,0.546,39.0,18.0,6.6969,125.174,1,0,0
7.1,1.271,11.0,33.0,1.6213,126.416,1,1,0
6.5,4.765,25.0,577.0,-21.9449,-179.511,0,1,0
6.6,5.086,48.0,10.0,-18.5747,-175.272,1,1,0
6.5,0.428,19.0,10.0,6.9098,125.178,1,0,0
6.6,0.646,24.0,15.0,6.7567,125.008,1,0,0
6.7,1.269,98.0,11.0,-35.4758,-73.163,1,1,1
6.5,3.909,15.0,12.26,-3.4528,128.37,1,1,1
6.6,4.121,19.0,591.0,-20.3641,-178.57,1,1,0
6.6,12.896,19.0,16.0,-60.2152,-26.5801,1,1,0
6.9,2.839,23.0,49.0,-7.2822,104.791,0,1,0
6.8,0.817,35.0,25.0,-34.2364,-72.3102,1,1,1
6.6,6.024,30.0,181.0,-16.1985,167.998,1,0,1
7.2,1.504,38.0,18.98,-0.5858,128.034,1,0,0
6.6,2.978,32.0,10.0,-18.2242,120.358,0,1,0
6.9,1.205,21.0,35.0,0.5126,126.189,0,1,0
7.1,0.04616,43.0,8.0,35.7695,-117.599,0,0,0
7.3,2.629,16.0,212.0,-6.4078,129.169,1,1,1
7.3,1.402,11.0,46.0,-30.6441,-178.1,1,1,0
6.6,1.193,22.0,57.92,13.1994,-89.3056,1,1,0
8.0,3.18,17.0,122.57,-5.8119,-75.2697,1,0,0
7.6,0.453,16.0,10.0,-4.051,152.597,1,1,1
7.1,2.514,16.0,146.0,-6.9746,146.449,1,0,0
6.8,0.791,28.0,15.46,-1.8146,122.58,1,1,0
6.5,7.568,18.0,38.0,-58.6262,-25.304,1,1,1
7.0,2.501,42.0,267.0,-14.7131,-70.1546,1,0,0
7.5,2.045,15.0,145.0,-2.1862,-77.0505,1,0,0
6.7,0.289,43.0,66.0,14.6802,-92.4527,1,1,0
6.7,7.527,17.0,13.0,-43.1219,42.3568,0,1,0
6.7,0.173,22.0,63.0,-30.0404,-71.3815,1,0,1
6.6,7.818,18.0,35.0,-13.336,166.875,1,1,1
6.6,1.596,33.0,43.21,2.258,126.758,1,1,0
6.8,1.181,16.0,570.41,-8.144,-71.587,0,0,0
7.0,1.769,21.0,60.21,5.8983,126.921,1,1,1
7.3,4.126,23.0,16.56,55.0999,164.699,1,1,1
7.1,7.043,20.0,133.0,-58.5446,-26.3856,1,1,1
6.6,2.679,31.0,10.0,-22.0629,169.733,1,1,1
7.5,2.405,18.0,10.0,-21.9496,169.427,1,1,1
7.1,0.0,0.0,46.7,61.3464,-149.955,1,0,0
6.8,2.879,39.0,540.0,-17.8735,-178.927,1,1,0
6.7,7.853,19.0,10.0,71.6312,-11.2431,1,1,0
